Taxon Name, numOccurrences, fileName
Peromyscus polionotus,11,mammals/Peromyscus polionotus.csv,
Peromyscus sp.,388,mammals/Peromyscus sp..csv,
Taxon Name, numOccurrences, fileName
Peromyscus truei,11,mammals/Peromyscus truei.csv,
Taxon Name, numOccurrences, fileName
Phenacomys intermedius,41,mammals/Phenacomys intermedius.csv,
Phoca vitulina,28,mammals/Phoca vitulina.csv,
Pipistrellus subflavus,28,mammals/Pipistrellus subflavus.csv,
Platygonus sp.,23,mammals/Platygonus sp..csv,
Platygonus compressus,62,mammals/Platygonus compressus.csv,
Plecotus sp.,16,mammals/Plecotus sp..csv,
Procyon lotor,695,mammals/Procyon lotor.csv,
Paramylodon harlani,42,mammals/Paramylodon harlani.csv,
Rangifer tarandus,44,mammals/Rangifer tarandus.csv,
Rattus norvegicus,21,mammals/Rattus norvegicus.csv,
Rattus rattus,10,mammals/Rattus rattus.csv,
Rattus sp.,18,mammals/Rattus sp..csv,
Reithrodontomys megalotis,42,mammals/Reithrodontomys megalotis.csv,
Reithrodontomys sp.,47,mammals/Reithrodontomys sp..csv,
Scalopus aquaticus,234,mammals/Scalopus aquaticus.csv,
Scapanus latimanus,12,mammals/Scapanus latimanus.csv,
Sciurus carolinensis,202,mammals/Sciurus carolinensis.csv,
Sciurus niger,168,mammals/Sciurus niger.csv,
Sciurus sp.,268,mammals/Sciurus sp..csv,
Sigmodon hispidus,156,mammals/Sigmodon hispidus.csv,
Sigmodon sp.,30,mammals/Sigmodon sp..csv,
Smilodon fatalis,25,mammals/Smilodon fatalis.csv,
Sorex arcticus,27,mammals/Sorex arcticus.csv,
Sorex cinereus,70,mammals/Sorex cinereus.csv,
Sorex fumeus,19,mammals/Sorex fumeus.csv,
Sorex hoyi,29,mammals/Sorex hoyi.csv,
Sorex merriami,15,mammals/Sorex merriami.csv,
Sorex palustris,34,mammals/Sorex palustris.csv,
Sorex sp.,50,mammals/Sorex sp..csv,
Sorex vagrans,10,mammals/Sorex vagrans.csv,
Spermophilus beecheyi,28,mammals/Spermophilus beecheyi.csv,
Spermophilus beldingi,14,mammals/Spermophilus beldingi.csv,
Spermophilus franklinii,50,mammals/Spermophilus franklinii.csv,
Spermophilus lateralis,47,mammals/Spermophilus lateralis.csv,
Spermophilus mexicanus,10,mammals/Spermophilus mexicanus.csv,
Spermophilus richardsonii,39,mammals/Spermophilus richardsonii.csv,
Spermophilus sp.,208,mammals/Spermophilus sp..csv,
Spermophilus spilosoma,23,mammals/Spermophilus spilosoma.csv,
Spermophilus townsendii,37,mammals/Spermophilus townsendii.csv,
Spermophilus tridecemlineatus,134,mammals/Spermophilus tridecemlineatus.csv,
Spermophilus variegatus,92,mammals/Spermophilus variegatus.csv,
