Taxon,sitesInFile,sitesInAPI, delta, datasetsFromAPI,
Abies_alba,19,19,0,24,
Abies_nordmanniana,14,14,0,14,
Acer_circinatum,10,13,-3,13,
Acer_negundo,380,380,0,413,
Acer_rubrum,58,801,-743,891,
Acer_saccharinum,89,269,-180,293,
Acer_saccharum,162,938,-776,1077,
Acer_undiff,66,261,-195,294,
Aconogonon_ochreatum,10,10,0,10,
Ageratum_houstonianum,24,24,0,26,
Allionia_incarnata,4,4,0,18,
Alnus_(pentaporate),28,28,0,28,
Alnus_(tetraporate),27,27,0,27,
Alnus_glutinosa,9,51,-42,53,
Alnus_incana,160,721,-561,773,
Alnus_rubra,18,26,-8,26,
Alnus_undiff,10,269,-259,298,
Alnus_viridis,43,768,-725,810,
Amaranthaceae_undiff,185,476,-291,505,
Amaranthus_australis,31,31,0,34,
Ambrosia_artemisiifolia,30,30,0,33,
Anacardiaceae_undiff,13,17,-4,17,
Apiaceae_undiff,30,125,-95,132,
Arecaceae_undiff,2,11,-9,12,
Artemisia_herba-alba,1,35,-34,38,
Artemisia_undiff,16,16,0,17,
Artemisia_vulgaris,1,37,-36,41,
Asteraceae_undiff,118,739,-621,805,
Athyrium_alpestre,3,20,-17,20,
Athyrium_filix-femina,22,41,-19,42,
Baccharis_tola,2,2,0,11,
Betulaceae_undiff,53,53,0,55,
Betula_costata,21,21,0,21,
Betula_dahurica,24,24,0,24,
Betula_divaricata,29,29,0,30,
Betula_ermanii,21,21,0,21,
Betula_fruticosa,16,16,0,17,
Betula_humilis,11,11,0,11,
Betula_pendula,24,24,0,24,
Betula_platyphylla,45,45,0,49,
Betula_pubescens,9,33,-24,33,
Betula_undiff,9,136,-127,140,
Bistorta_bistortoides,66,67,-1,72,
Bistorta_officinalis,32,153,-121,163,
Blechnum_serrulatum,17,17,0,18,
Botrychium_lunaria,27,28,-1,29,
Bouteloua_curtipendula,4,4,0,10,
Brasenia_schreberi,67,196,-129,212,
Brassicaceae_undiff,62,62,0,75,
Bursera_simaruba,8,10,-2,11,
Calla_palustris,9,17,-8,19,
Calystegia_sepium,8,14,-6,14,
Cannabis_sativa,5,72,-67,76,
Carpinus_betulus,10,120,-110,133,
Carpinus_cordata,10,10,0,10,
Carpinus_orientalis,22,22,0,23,
Caryophyllaceae_undiff,29,69,-40,75,
Castanea_sativa,7,19,-12,20,
