,taxon,taxon.id,P25,WS64,WhitmoreFull,WhitmoreSmall,Broad,STEPPS,type,cf
9488,Sisymbrium,5803,NA,Brassicaceae,BRASSICACEAE,BRASSICACEAE,BRASSICACEAE,NA,NA,NA
9489,Sisymbrium sp.,22777,NA,Brassicaceae,BRASSICACEAE,BRASSICACEAE,BRASSICACEAE,NA,NA,NA
10174,Thysanocarpus,22817,NA,Brassicaceae,BRASSICACEAE,BRASSICACEAE,BRASSICACEAE,NA,NA,NA
1545,Browningia,22741,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
1546,Browningia candelaris,22742,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
1640,Cactaceae,1680,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
1641,Cactaceae aff. Echinopsis,22743,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
1642,Cactaceae aff. Opuntia,22744,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
1643,Cactaceae undiff.,3186,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
1873,Carnegiea-type,3185,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
3475,Cumulopuntia,22757,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
3476,Cumulopuntia boliviana,22781,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
3477,Cumulopuntia sp.,22758,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
3478,Cumulopuntia sphaerica,22759,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
3550,Cylindropuntia,16968,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
3551,Cylindropuntia imbricata,23584,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
3952,Echinocereus,15569,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
4538,Ferocactus,15562,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
5935,Lobivia,22779,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
6260,Mammillaria,15560,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
7177,Opuntia,472,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
7179,Opuntia macrocentra,23806,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
7180,Opuntia phaeacantha-type,23453,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
7181,Opuntia sp.,15537,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
7189,Oreocereus,22788,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
7307,Pachycereus,16973,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
8785,Rhipsalis,1852,NA,Cactaceae,CACTACEAE,CACTACEAE,CACTACEAE,NA,NA,NA
1759,Campanula,813,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1760,Campanula aparinoides-type,421,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1761,Campanula cf. C. rotundifolia,3978,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1762,Campanula rapunculoides,3982,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1763,Campanula rotundifolia,3981,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1764,Campanula rotundifolia-type,422,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1765,Campanula uliginosa-type,14759,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1766,Campanula/Jasione,3979,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1767,Campanulaceae,351,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1768,Campanulaceae subf. Lobelioideae,5672,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1769,Campanulaceae undiff.,41,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1770,Campanula-type,586,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1771,Campanulidae,9657,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
3150,Codonopsis,24647,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
5449,Isotoma,2770,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
5470,Jasione,1073,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
5471,Jasione montana,4412,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
5472,Jasione montana-type,4413,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
5473,Jasione-type,4414,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
5710,Legousia-type,5326,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
5930,Lobelia,2476,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
5931,Lobelia dortmanna,4121,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
6167,Lysipomia,1905,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
6475,Michauxia,5428,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
7746,Phyteuma,5674,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
7747,Phyteuma-type,5316,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
9620,Specularia,23857,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
10350,Triodanis,2593,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
10791,Wahlenbergia,2796,NA,NA,CAMPANULACEA,CAMPANULACEA,CAMPANULACEA,NA,NA,NA
1817,Caprifoliaceae,394,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1818,Caprifoliaceae sensu lato,9528,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1819,Caprifoliaceae sensu lato undiff.,9529,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1820,Caprifoliaceae subf. Caprifolioideae,21811,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1821,Caprifoliaceae subf. Diervilloideae,9527,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1822,Caprifoliaceae subf. Dipsacoideae,1340,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1823,Caprifoliaceae subf. Dipsacoideae cf. Succisa,4423,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1824,Caprifoliaceae subf. Dipsacoideae undiff.,1391,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1825,Caprifoliaceae subf. Linnaeoideae,9525,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1826,Caprifoliaceae subf. Valerianoideae,1302,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1827,Caprifoliaceae undiff.,43,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5953,Lonicera,164,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5954,Lonicera albiflora-type,2618,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5955,Lonicera caerulea,598,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5956,Lonicera canadensis,640,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5957,Lonicera canadensis-type,642,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5958,Lonicera hirsuta,21597,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5959,Lonicera implexa,4472,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5960,Lonicera involucrata,641,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5961,Lonicera nigra,4468,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5962,Lonicera nigra-type,4467,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5963,Lonicera periclymenum,4464,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5964,Lonicera periclymenum-type,4466,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5965,Lonicera undiff.,4470,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5967,Lonicera xylosteum,4469,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5968,Lonicera xylosteum-type,4465,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5969,Lonicera/Symphoricarpos,3484,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
5970,Lonicera-type,3708,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
9909,Symphoricarpos,1269,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
9910,Symphoricarpos albus,5779,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
9911,Symphoricarpos occidentalis,2316,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
9912,Symphoricarpos-type,393,NA,NA,CAPRIFOLIA,CAPRIFOLIA,CAPRIFOLIA,NA,NA,NA
1887,Carya,44,Carya,Carya,CARYA,CARYA,CARYA,CARYA,NA,NA
1888,Carya cordiformis,587,Carya,Carya,CARYA,CARYA,CARYA,CARYA,NA,NA
1890,Carya ovata,588,Carya,Carya,CARYA,CARYA,CARYA,CARYA,NA,NA
2237,cf. Carya,22602,Carya,Carya,CARYA,CARYA,CARYA,CARYA,NA,TRUE
283,Agrostemma githago,5357,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,Caryophyllaceae,NA,NA,NA
284,Agrostemma-type,1337,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,Caryophyllaceae,NA,NA,NA
643,Anthyllis/Lychnis,3808,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
817,Arenaria,994,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
818,Arenaria,8184,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
824,Arenaria/Silene,3816,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
825,Arenaria/Stellaria,9590,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
826,Arenaria-type,3830,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1896,Caryophyllaceae,45,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1897,Caryophyllaceae (pentacolpate),5617,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1898,Caryophyllaceae (small),2090,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1899,Caryophyllaceae aff. Spergularia,22745,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1900,Caryophyllaceae cf. Cerastium,4031,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1901,Caryophyllaceae cf. Dianthus,1280,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1902,Caryophyllaceae cf. Lychnis,2234,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1903,Caryophyllaceae cf. Myosoton aquaticum,5344,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1904,Caryophyllaceae cf. Sagina,4773,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1905,Caryophyllaceae cf. Scleranthus,4846,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1906,Caryophyllaceae cf. Silene,3819,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1907,Caryophyllaceae cf. Silene albescens,3822,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1908,Caryophyllaceae cf. Silene ampulata,3823,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1909,Caryophyllaceae cf. Silene latifolia subsp. alba,3826,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1910,Caryophyllaceae cf. Stellaria,4037,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1911,Caryophyllaceae cf. Stellaria pungens,2701,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1912,Caryophyllaceae undiff.,1013,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2060,Cerastium,1530,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2061,Cerastium afromontanum-type,2451,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2062,Cerastium alpinum-type,4027,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2063,Cerastium arvense,4035,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2064,Cerastium fontanum subsp. triviale,14920,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2065,Cerastium fontanum subsp. vulgare,4028,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2066,Cerastium fontanum-type,4034,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2067,Cerastium octandrum-type,2452,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2068,Cerastium undiff.,4030,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2069,Cerastium/Stellaria,4032,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2070,Cerastium-type,999,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
2252,cf. Cerastium glomeratum,4033,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,TRUE
2692,cf. Silene alba,14913,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,TRUE
3167,Colobanthus,9619,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
3168,Colobanthus-type,24021,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
3326,Corrigiola,5608,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
3705,Dianthus,4226,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
3706,Dianthus lusitanus-type,4228,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
3707,Dianthus superbus-type,4227,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
3708,Dianthus-type,2549,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
4973,Gypsophila,4359,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
4974,Gypsophila fastigiata,4363,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
4975,Gypsophila fastigiata/G. repens,4362,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
4976,Gypsophila fastigiata-type,4364,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
4977,Gypsophila muralis,4365,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
4978,Gypsophila repens,4366,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
4979,Gypsophila repens-type,4361,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
4980,Gypsophila undiff.,4360,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
4981,Gypsophila-type,3423,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
5141,Herniaria,4377,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
5142,Herniaria-type,4378,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
5400,Illecebrum,5453,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
5940,Loeflingia,5169,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
6030,Lychnis,3695,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
6031,Lychnis flos-cuculi,3809,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
6032,Lychnis viscaria-type,3810,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
6033,Lychnis/Silene elegans,3812,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
6034,Lychnis-type,3694,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
6372,Melandrium,1531,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
6579,Minuartia recurva,5499,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
6739,Myosoton aquaticum,5345,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
7394,Paronychia,2555,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
7395,Paronychia americana,2553,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
7396,Paronychia chartacea,2554,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
7397,Paronychia polygonifolia-type,4669,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
7398,Paronychia-type,3424,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9014,Sagina,4770,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9015,Sagina cf. S. nodosa,4771,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9016,Sagina cf. S. procumbens,4772,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9017,Sagina nodosa,4774,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9018,Sagina-type,3428,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9286,Scleranthus,2907,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9287,Scleranthus annuus,4845,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9288,Scleranthus perennis,2906,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9289,Scleranthus-type,2908,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9453,Silene,2306,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9454,Silene acaulis,3824,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9455,Silene burchellii-type,2454,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9456,Silene cf. S. acaulis,3813,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9457,Silene cf. S. nutans,3828,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9458,Silene dioica,5378,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9459,Silene dioica-type,3814,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9460,Silene foetida-type,3829,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9461,Silene undiff.,3825,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9462,Silene uniflora,24001,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9463,Silene uniflora subsp. uniflora,3820,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9464,Silene uniflora subsp. uniflora-type,3817,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9467,Silene vulgaris-type,3815,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9468,Silene/Lychnis,3811,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9469,Silene-type,3703,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9621,Spergula,2932,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9622,Spergula arvensis,2933,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9623,Spergula arvensis-type,2937,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9624,Spergula/Spergularia,1313,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9625,Spergularia,2936,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9626,Spergularia sp.,22794,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9627,Spergularia-type,2935,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9628,Spergula-type,2934,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9764,Stellaria,545,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9765,Stellaria cf. S. graminea,4040,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9766,Stellaria cf. S. media,4042,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9767,Stellaria cf. S. nemorum,4039,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9768,Stellaria cf. S. palustris,4041,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9769,Stellaria graminea,4043,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9770,Stellaria holostea,2909,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9771,Stellaria mannii-type,2455,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9772,Stellaria nemorum,4044,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9773,Stellaria palustris,4038,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9774,Stellaria undiff.,4036,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
9775,Stellaria-type,841,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
10432,Uebelinia,2456,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
10433,Uebelinia abyssinica-type,2457,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
10632,Vaccaria,5272,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
10633,Vaccaria/Petrorhagia,5273,NA,Caryophyllaceae,CARYOPHYLL,CARYOPHYLL,CARYOPHYLL,NA,NA,NA
1928,Castanea,47,NA,Castanea,CASTANEA,CASTANEA,CASTANEA,CASTANEA,NA,NA
