Taxon,Sites,Records,CSV,Shapefile
Alces alces,32,44,/CSV/mammals/Alces alces.csv,Shapefiles/mammals/Alces alces.shp
Ammospermophilus leucurus,19,45,/CSV/mammals/Ammospermophilus leucurus.csv,Shapefiles/mammals/Ammospermophilus leucurus.shp
Antilocapra americana,343,717,/CSV/mammals/Antilocapra americana.csv,Shapefiles/mammals/Antilocapra americana.shp
Antilocapra sp.,13,14,/CSV/mammals/Antilocapra sp..csv,Shapefiles/mammals/Antilocapra sp..shp
Antrozous pallidus,22,32,/CSV/mammals/Antrozous pallidus.csv,Shapefiles/mammals/Antrozous pallidus.shp
Aplodontia rufa,11,27,/CSV/mammals/Aplodontia rufa.csv,Shapefiles/mammals/Aplodontia rufa.shp
Arctodus simus,32,43,/CSV/mammals/Arctodus simus.csv,Shapefiles/mammals/Arctodus simus.shp
Bassariscus astutus,40,65,/CSV/mammals/Bassariscus astutus.csv,Shapefiles/mammals/Bassariscus astutus.shp
Bison bison,485,847,/CSV/mammals/Bison bison.csv,Shapefiles/mammals/Bison bison.shp
Bison latifrons,12,18,/CSV/mammals/Bison latifrons.csv,Shapefiles/mammals/Bison latifrons.shp
Bison sp.,253,422,/CSV/mammals/Bison sp..csv,Shapefiles/mammals/Bison sp..shp
Blarina brevicauda,150,275,/CSV/mammals/Blarina brevicauda.csv,Shapefiles/mammals/Blarina brevicauda.shp
Blarina carolinensis,19,64,/CSV/mammals/Blarina carolinensis.csv,Shapefiles/mammals/Blarina carolinensis.shp
Blarina sp.,18,21,/CSV/mammals/Blarina sp..csv,Shapefiles/mammals/Blarina sp..shp
Bootherium bombifrons,95,122,/CSV/mammals/Bootherium bombifrons.csv,Shapefiles/mammals/Bootherium bombifrons.shp
Bos taurus,109,178,/CSV/mammals/Bos taurus.csv,Shapefiles/mammals/Bos taurus.shp
Brachylagus idahoensis,39,199,/CSV/mammals/Brachylagus idahoensis.csv,Shapefiles/mammals/Brachylagus idahoensis.shp
Callorhinus ursinus,24,132,/CSV/mammals/Callorhinus ursinus.csv,Shapefiles/mammals/Callorhinus ursinus.shp
