ScientificName,Kingdom,Phylum, Class, Order,Family, Genus, Extra
Notiosorex crawfordi,Animalia,Vertebrata,Mammalia,Lipotyphla,Soricidae,Notiosorex,Soricomorpha
Ochotona princeps,Animalia,Vertebrata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,
Odocoileus sp.,Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,Capreolinae,
Odocoileus virginianus,Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,Capreolinae,
Ondatra sp.,Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,Arvicolinae,
Ondatra zibethicus,Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,Arvicolinae,
Onychomys leucogaster,Animalia,Vertebrata,Mammalia,Rodentia,Neotominae,Onychomys,Cricetidae
Onychomys sp.,Animalia,Vertebrata,Mammalia,Rodentia,Neotominae,Onychomys,Cricetidae
Oreamnos sp.,Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,Caprinae,
Oryzomys palustris,Animalia,Vertebrata,Mammalia,Rodentia,Sigmodontinae,Oryzomys,Cricetidae
Ovis aries,Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,Caprinae,
Ovis canadensis,Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,Caprinae,
Ovis sp.,Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,Caprinae,
Palaeolama mirifica,Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,Palaeolama,
Panthera onca,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,Panthera,
Paramylodon harlani,Animalia,Vertebrata,Mammalia,Xenarthra,Mylodontidae,Paramylodon,Pilosa
Parascalops breweri,Animalia,Vertebrata,Mammalia,Lipotyphla,Talpidae,Parascalops,Soricomorpha
pass,Animalia,Vertebrata,Mammalia,Lipotyphla,Talpidae,Parascalops,Soricomorpha
Perognathus flavescens,Animalia,Vertebrata,Mammalia,Rodentia,Perognathinae,Perognathus,Heteromyidae
Perognathus flavus,Animalia,Vertebrata,Mammalia,Rodentia,Perognathinae,Perognathus,Heteromyidae
Perognathus parvus,Animalia,Vertebrata,Mammalia,Rodentia,Perognathinae,Perognathus,Heteromyidae
Perognathus sp.,Animalia,Vertebrata,Mammalia,Rodentia,Perognathinae,Perognathus,Heteromyidae
Peromyscus boylii,Animalia,Vertebrata,Mammalia,Rodentia,Neotominae,Peromyscus,Cricetidae
Peromyscus crinitus,Animalia,Vertebrata,Mammalia,Rodentia,Neotominae,Peromyscus,Cricetidae
Peromyscus gossypinus,Animalia,Vertebrata,Mammalia,Rodentia,Neotominae,Peromyscus,Cricetidae
Peromyscus leucopus,Animalia,Vertebrata,Mammalia,Rodentia,Neotominae,Peromyscus,Cricetidae
Peromyscus maniculatus,Animalia,Vertebrata,Mammalia,Rodentia,Neotominae,Peromyscus,Cricetidae
Peromyscus polionotus,Animalia,Vertebrata,Mammalia,Rodentia,Neotominae,Peromyscus,Cricetidae
Phenacomys intermedius,Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,Arvicolinae,
Phoca vitulina,Animalia,Vertebrata,Mammalia,Carnivora,Phocidae,Phoca,Pinnipedia
Pipistrellus subflavus,Animalia,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,
Platygonus compressus,Animalia,Vertebrata,Mammalia,Artiodactyla,Tayassuidae,Platygonus,
Platygonus sp.,Animalia,Vertebrata,Mammalia,Artiodactyla,Tayassuidae,Platygonus,
Plecotus sp.,Animalia,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Plecotini,
Proboscidea sp.,Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,,
Procyon lotor,Animalia,Vertebrata,Mammalia,Carnivora,Procyonidae,Procyon,
Puma concolor,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,Puma,
Rangifer tarandus,Animalia,Vertebrata,Mammalia,Artiodactyla,Capreolinae,Rangifer,Cervidae
Rattus norvegicus,Animalia,Vertebrata,Mammalia,Rodentia,Muridae,Rattus,
Rattus rattus,Animalia,Vertebrata,Mammalia,Rodentia,Muridae,Rattus,
Rattus sp.,Animalia,Vertebrata,Mammalia,Rodentia,Muridae,Rattus,
Reithrodontomys megalotis,Animalia,Vertebrata,Mammalia,Rodentia,Neotominae,Reithrodontomys,Cricetidae
Reithrodontomys sp.,Animalia,Vertebrata,Mammalia,Rodentia,Neotominae,Reithrodontomys,Cricetidae
Scalopus aquaticus,Animalia,Vertebrata,Mammalia,Lipotyphla,Talpidae,Scalopus,Soricomorpha
Scapanus latimanus,Animalia,Vertebrata,Mammalia,Lipotyphla,Talpidae,Scapanus,Soricomorpha
Sciurus carolinensis,Animalia,Vertebrata,Mammalia,Rodentia,Sciurinae,Sciurus,Sciuridae
Sciurus niger,Animalia,Vertebrata,Mammalia,Rodentia,Sciurinae,Sciurus,Sciuridae
Sciurus sp.,Animalia,Vertebrata,Mammalia,Rodentia,Sciurinae,Sciurus,Sciuridae
Sigmodon hispidus,Animalia,Vertebrata,Mammalia,Rodentia,Sigmodontinae,Sigmodon,Cricetidae
Sigmodon sp.,Animalia,Vertebrata,Mammalia,Rodentia,Sigmodontinae,Sigmodon,Cricetidae
Smilodon fatalis,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,Smilodon,
Sorex arcticus,Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,Soricidae,
Sorex cinereus,Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,Soricidae,
Sorex fumeus,Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,Soricidae,
Sorex hoyi,Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,Soricidae,
Sorex merriami,Animalia,Vertebrata,Mammalia,Lipotyphla,Soricidae,Sorex,Soricomorpha
Sorex palustris,Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,Soricidae,
Sorex sp.,Animalia,Vertebrata,Mammalia,Lipotyphla,Soricidae,Sorex,Soricomorpha
Sorex vagrans,Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,Soricidae,
Spermophilus beecheyi,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Spermophilus beldingi,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Spermophilus franklinii,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Spermophilus lateralis,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Spermophilus mexicanus,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Spermophilus richardsonii,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Spermophilus sp.,Animalia,Vertebrata,Mammalia,Rodentia,Xerinae,Spermophilus,Sciuridae
Spermophilus spilosoma,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Spermophilus townsendii,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Spermophilus tridecemlineatus,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Spermophilus variegatus,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Spilogale gracilis,Animalia,Vertebrata,Mammalia,Carnivora,Mephitidae,Spilogale,Mustelidae/Mephitidae
