Scientific Name, numrecords, csvLocation, shapefileLocation
Mephitis sp.,29,CSV/mammals/Mephitis sp..csv,shapefiles/mammals/Mephitis sp..shp
Microtus californicus,28,CSV/mammals/Microtus californicus.csv,shapefiles/mammals/Microtus californicus.shp
Microtus chrotorrhinus,18,CSV/mammals/Microtus chrotorrhinus.csv,shapefiles/mammals/Microtus chrotorrhinus.shp
Microtus longicaudus,54,CSV/mammals/Microtus longicaudus.csv,shapefiles/mammals/Microtus longicaudus.shp
Microtus mexicanus,36,CSV/mammals/Microtus mexicanus.csv,shapefiles/mammals/Microtus mexicanus.shp
Microtus montanus,90,CSV/mammals/Microtus montanus.csv,shapefiles/mammals/Microtus montanus.shp
Microtus ochrogaster,179,CSV/mammals/Microtus ochrogaster.csv,shapefiles/mammals/Microtus ochrogaster.shp
Microtus pennsylvanicus,320,CSV/mammals/Microtus pennsylvanicus.csv,shapefiles/mammals/Microtus pennsylvanicus.shp
Microtus pinetorum,148,CSV/mammals/Microtus pinetorum.csv,shapefiles/mammals/Microtus pinetorum.shp
Microtus sp.,701,CSV/mammals/Microtus sp..csv,shapefiles/mammals/Microtus sp..shp
Microtus xanthognathus,66,CSV/mammals/Microtus xanthognathus.csv,shapefiles/mammals/Microtus xanthognathus.shp
Mus musculus,20,CSV/mammals/Mus musculus.csv,shapefiles/mammals/Mus musculus.shp
Mustela erminea,32,CSV/mammals/Mustela erminea.csv,shapefiles/mammals/Mustela erminea.shp
Mustela frenata,205,CSV/mammals/Mustela frenata.csv,shapefiles/mammals/Mustela frenata.shp
Mustela nigripes,21,CSV/mammals/Mustela nigripes.csv,shapefiles/mammals/Mustela nigripes.shp
Mustela nivalis,40,CSV/mammals/Mustela nivalis.csv,shapefiles/mammals/Mustela nivalis.shp
Mustela sp.,69,CSV/mammals/Mustela sp..csv,shapefiles/mammals/Mustela sp..shp
Mylohyus fossilis,38,CSV/mammals/Mylohyus fossilis.csv,shapefiles/mammals/Mylohyus fossilis.shp
Mylohyus sp.,22,CSV/mammals/Mylohyus sp..csv,shapefiles/mammals/Mylohyus sp..shp
Myodes gapperi,143,CSV/mammals/Myodes gapperi.csv,shapefiles/mammals/Myodes gapperi.shp
Myotis lucifugus,22,CSV/mammals/Myotis lucifugus.csv,shapefiles/mammals/Myotis lucifugus.shp
Myotis sp.,169,CSV/mammals/Myotis sp..csv,shapefiles/mammals/Myotis sp..shp
Myotis velifer,95,CSV/mammals/Myotis velifer.csv,shapefiles/mammals/Myotis velifer.shp
Napaeozapus insignis,23,CSV/mammals/Napaeozapus insignis.csv,shapefiles/mammals/Napaeozapus insignis.shp
Neofiber alleni,46,CSV/mammals/Neofiber alleni.csv,shapefiles/mammals/Neofiber alleni.shp
Neotoma albigula,92,CSV/mammals/Neotoma albigula.csv,shapefiles/mammals/Neotoma albigula.shp
Neotoma cinerea,400,CSV/mammals/Neotoma cinerea.csv,shapefiles/mammals/Neotoma cinerea.shp
Neotoma floridana,332,CSV/mammals/Neotoma floridana.csv,shapefiles/mammals/Neotoma floridana.shp
Neotoma lepida,118,CSV/mammals/Neotoma lepida.csv,shapefiles/mammals/Neotoma lepida.shp
Neotoma mexicana,45,CSV/mammals/Neotoma mexicana.csv,shapefiles/mammals/Neotoma mexicana.shp
Neotoma micropus,39,CSV/mammals/Neotoma micropus.csv,shapefiles/mammals/Neotoma micropus.shp
Neotoma sp.,783,CSV/mammals/Neotoma sp..csv,shapefiles/mammals/Neotoma sp..shp
Neovison vison,331,CSV/mammals/Neovison vison.csv,shapefiles/mammals/Neovison vison.shp
Nothrotheriops shastensis,47,CSV/mammals/Nothrotheriops shastensis.csv,shapefiles/mammals/Nothrotheriops shastensis.shp
Notiosorex crawfordi,113,CSV/mammals/Notiosorex crawfordi.csv,shapefiles/mammals/Notiosorex crawfordi.shp
Ochotona princeps,112,CSV/mammals/Ochotona princeps.csv,shapefiles/mammals/Ochotona princeps.shp
Odocoileus sp.,1006,CSV/mammals/Odocoileus sp..csv,shapefiles/mammals/Odocoileus sp..shp
Odocoileus virginianus,1745,CSV/mammals/Odocoileus virginianus.csv,shapefiles/mammals/Odocoileus virginianus.shp
Ondatra sp.,14,CSV/mammals/Ondatra sp..csv,shapefiles/mammals/Ondatra sp..shp
Ondatra zibethicus,813,CSV/mammals/Ondatra zibethicus.csv,shapefiles/mammals/Ondatra zibethicus.shp
Onychomys leucogaster,201,CSV/mammals/Onychomys leucogaster.csv,shapefiles/mammals/Onychomys leucogaster.shp
Onychomys sp.,33,CSV/mammals/Onychomys sp..csv,shapefiles/mammals/Onychomys sp..shp
Oreamnos sp.,18,CSV/mammals/Oreamnos sp..csv,shapefiles/mammals/Oreamnos sp..shp
Oryzomys palustris,178,CSV/mammals/Oryzomys palustris.csv,shapefiles/mammals/Oryzomys palustris.shp
Ovis aries,60,CSV/mammals/Ovis aries.csv,shapefiles/mammals/Ovis aries.shp
Ovis canadensis,720,CSV/mammals/Ovis canadensis.csv,shapefiles/mammals/Ovis canadensis.shp
Ovis sp.,50,CSV/mammals/Ovis sp..csv,shapefiles/mammals/Ovis sp..shp
Palaeolama mirifica,15,CSV/mammals/Palaeolama mirifica.csv,shapefiles/mammals/Palaeolama mirifica.shp
Panthera onca,33,CSV/mammals/Panthera onca.csv,shapefiles/mammals/Panthera onca.shp
Paramylodon harlani,51,CSV/mammals/Paramylodon harlani.csv,shapefiles/mammals/Paramylodon harlani.shp
Parascalops breweri,66,CSV/mammals/Parascalops breweri.csv,shapefiles/mammals/Parascalops breweri.shp
Perognathus flavescens,25,CSV/mammals/Perognathus flavescens.csv,shapefiles/mammals/Perognathus flavescens.shp
Perognathus flavus,13,CSV/mammals/Perognathus flavus.csv,shapefiles/mammals/Perognathus flavus.shp
Perognathus parvus,159,CSV/mammals/Perognathus parvus.csv,shapefiles/mammals/Perognathus parvus.shp
Perognathus sp.,267,CSV/mammals/Perognathus sp..csv,shapefiles/mammals/Perognathus sp..shp
Peromyscus boylii,27,CSV/mammals/Peromyscus boylii.csv,shapefiles/mammals/Peromyscus boylii.shp
Peromyscus crinitus,21,CSV/mammals/Peromyscus crinitus.csv,shapefiles/mammals/Peromyscus crinitus.shp
Peromyscus gossypinus,18,CSV/mammals/Peromyscus gossypinus.csv,shapefiles/mammals/Peromyscus gossypinus.shp
Peromyscus leucopus,80,CSV/mammals/Peromyscus leucopus.csv,shapefiles/mammals/Peromyscus leucopus.shp
Peromyscus maniculatus,303,CSV/mammals/Peromyscus maniculatus.csv,shapefiles/mammals/Peromyscus maniculatus.shp
Peromyscus polionotus,12,CSV/mammals/Peromyscus polionotus.csv,shapefiles/mammals/Peromyscus polionotus.shp
Phenacomys intermedius,77,CSV/mammals/Phenacomys intermedius.csv,shapefiles/mammals/Phenacomys intermedius.shp
Phoca vitulina,88,CSV/mammals/Phoca vitulina.csv,shapefiles/mammals/Phoca vitulina.shp
Pipistrellus subflavus,86,CSV/mammals/Pipistrellus subflavus.csv,shapefiles/mammals/Pipistrellus subflavus.shp
Platygonus compressus,80,CSV/mammals/Platygonus compressus.csv,shapefiles/mammals/Platygonus compressus.shp
Platygonus sp.,25,CSV/mammals/Platygonus sp..csv,shapefiles/mammals/Platygonus sp..shp
Plecotus sp.,33,CSV/mammals/Plecotus sp..csv,shapefiles/mammals/Plecotus sp..shp
Proboscidea sp.,34,CSV/mammals/Proboscidea sp..csv,shapefiles/mammals/Proboscidea sp..shp
Procyon lotor,1221,CSV/mammals/Procyon lotor.csv,shapefiles/mammals/Procyon lotor.shp
Puma concolor,171,CSV/mammals/Puma concolor.csv,shapefiles/mammals/Puma concolor.shp
Rangifer tarandus,51,CSV/mammals/Rangifer tarandus.csv,shapefiles/mammals/Rangifer tarandus.shp
Rattus norvegicus,29,CSV/mammals/Rattus norvegicus.csv,shapefiles/mammals/Rattus norvegicus.shp
Rattus rattus,19,CSV/mammals/Rattus rattus.csv,shapefiles/mammals/Rattus rattus.shp
Rattus sp.,27,CSV/mammals/Rattus sp..csv,shapefiles/mammals/Rattus sp..shp
Reithrodontomys megalotis,61,CSV/mammals/Reithrodontomys megalotis.csv,shapefiles/mammals/Reithrodontomys megalotis.shp
Reithrodontomys sp.,105,CSV/mammals/Reithrodontomys sp..csv,shapefiles/mammals/Reithrodontomys sp..shp
Scalopus aquaticus,485,CSV/mammals/Scalopus aquaticus.csv,shapefiles/mammals/Scalopus aquaticus.shp
Scapanus latimanus,14,CSV/mammals/Scapanus latimanus.csv,shapefiles/mammals/Scapanus latimanus.shp
Sciurus carolinensis,400,CSV/mammals/Sciurus carolinensis.csv,shapefiles/mammals/Sciurus carolinensis.shp
Sciurus niger,301,CSV/mammals/Sciurus niger.csv,shapefiles/mammals/Sciurus niger.shp
Sciurus sp.,541,CSV/mammals/Sciurus sp..csv,shapefiles/mammals/Sciurus sp..shp
Sigmodon hispidus,353,CSV/mammals/Sigmodon hispidus.csv,shapefiles/mammals/Sigmodon hispidus.shp
Sigmodon sp.,37,CSV/mammals/Sigmodon sp..csv,shapefiles/mammals/Sigmodon sp..shp
Smilodon fatalis,30,CSV/mammals/Smilodon fatalis.csv,shapefiles/mammals/Smilodon fatalis.shp
Sorex arcticus,39,CSV/mammals/Sorex arcticus.csv,shapefiles/mammals/Sorex arcticus.shp
Sorex cinereus,106,CSV/mammals/Sorex cinereus.csv,shapefiles/mammals/Sorex cinereus.shp
Sorex fumeus,36,CSV/mammals/Sorex fumeus.csv,shapefiles/mammals/Sorex fumeus.shp
Sorex hoyi,43,CSV/mammals/Sorex hoyi.csv,shapefiles/mammals/Sorex hoyi.shp
Sorex merriami,20,CSV/mammals/Sorex merriami.csv,shapefiles/mammals/Sorex merriami.shp
Sorex palustris,45,CSV/mammals/Sorex palustris.csv,shapefiles/mammals/Sorex palustris.shp
Sorex sp.,82,CSV/mammals/Sorex sp..csv,shapefiles/mammals/Sorex sp..shp
Sorex vagrans,13,CSV/mammals/Sorex vagrans.csv,shapefiles/mammals/Sorex vagrans.shp
Spermophilus beecheyi,57,CSV/mammals/Spermophilus beecheyi.csv,shapefiles/mammals/Spermophilus beecheyi.shp
Spermophilus beldingi,36,CSV/mammals/Spermophilus beldingi.csv,shapefiles/mammals/Spermophilus beldingi.shp
Spermophilus franklinii,65,CSV/mammals/Spermophilus franklinii.csv,shapefiles/mammals/Spermophilus franklinii.shp
Spermophilus lateralis,126,CSV/mammals/Spermophilus lateralis.csv,shapefiles/mammals/Spermophilus lateralis.shp
Spermophilus mexicanus,18,CSV/mammals/Spermophilus mexicanus.csv,shapefiles/mammals/Spermophilus mexicanus.shp
Spermophilus richardsonii,71,CSV/mammals/Spermophilus richardsonii.csv,shapefiles/mammals/Spermophilus richardsonii.shp
Spermophilus sp.,503,CSV/mammals/Spermophilus sp..csv,shapefiles/mammals/Spermophilus sp..shp
Spermophilus spilosoma,39,CSV/mammals/Spermophilus spilosoma.csv,shapefiles/mammals/Spermophilus spilosoma.shp
Spermophilus townsendii,190,CSV/mammals/Spermophilus townsendii.csv,shapefiles/mammals/Spermophilus townsendii.shp
Spermophilus tridecemlineatus,220,CSV/mammals/Spermophilus tridecemlineatus.csv,shapefiles/mammals/Spermophilus tridecemlineatus.shp
Spermophilus variegatus,170,CSV/mammals/Spermophilus variegatus.csv,shapefiles/mammals/Spermophilus variegatus.shp
Spilogale gracilis,18,CSV/mammals/Spilogale gracilis.csv,shapefiles/mammals/Spilogale gracilis.shp
Spilogale putorius,130,CSV/mammals/Spilogale putorius.csv,shapefiles/mammals/Spilogale putorius.shp
Spilogale sp.,39,CSV/mammals/Spilogale sp..csv,shapefiles/mammals/Spilogale sp..shp
Sus scrofa,161,CSV/mammals/Sus scrofa.csv,shapefiles/mammals/Sus scrofa.shp
Sylvilagus aquaticus,64,CSV/mammals/Sylvilagus aquaticus.csv,shapefiles/mammals/Sylvilagus aquaticus.shp
Sylvilagus audubonii,243,CSV/mammals/Sylvilagus audubonii.csv,shapefiles/mammals/Sylvilagus audubonii.shp
Sylvilagus bachmani,17,CSV/mammals/Sylvilagus bachmani.csv,shapefiles/mammals/Sylvilagus bachmani.shp
Sylvilagus floridanus,581,CSV/mammals/Sylvilagus floridanus.csv,shapefiles/mammals/Sylvilagus floridanus.shp
Sylvilagus nuttallii,260,CSV/mammals/Sylvilagus nuttallii.csv,shapefiles/mammals/Sylvilagus nuttallii.shp
Sylvilagus sp.,1386,CSV/mammals/Sylvilagus sp..csv,shapefiles/mammals/Sylvilagus sp..shp
Synaptomys australis,17,CSV/mammals/Synaptomys australis.csv,shapefiles/mammals/Synaptomys australis.shp
Synaptomys borealis,47,CSV/mammals/Synaptomys borealis.csv,shapefiles/mammals/Synaptomys borealis.shp
Synaptomys cooperi,208,CSV/mammals/Synaptomys cooperi.csv,shapefiles/mammals/Synaptomys cooperi.shp
Tadarida brasiliensis,13,CSV/mammals/Tadarida brasiliensis.csv,shapefiles/mammals/Tadarida brasiliensis.shp
Tamias sp.,183,CSV/mammals/Tamias sp..csv,shapefiles/mammals/Tamias sp..shp
Tamias striatus,358,CSV/mammals/Tamias striatus.csv,shapefiles/mammals/Tamias striatus.shp
Tamiasciurus hudsonicus,150,CSV/mammals/Tamiasciurus hudsonicus.csv,shapefiles/mammals/Tamiasciurus hudsonicus.shp
Tapirus sp.,29,CSV/mammals/Tapirus sp..csv,shapefiles/mammals/Tapirus sp..shp
Tapirus veroensis,30,CSV/mammals/Tapirus veroensis.csv,shapefiles/mammals/Tapirus veroensis.shp
Taxidea taxus,453,CSV/mammals/Taxidea taxus.csv,shapefiles/mammals/Taxidea taxus.shp
taxonomy,91,CSV/mammals/taxonomy.csv,shapefiles/mammals/taxonomy.shp
Thomomys bottae,242,CSV/mammals/Thomomys bottae.csv,shapefiles/mammals/Thomomys bottae.shp
Thomomys sp.,357,CSV/mammals/Thomomys sp..csv,shapefiles/mammals/Thomomys sp..shp
Thomomys talpoides,465,CSV/mammals/Thomomys talpoides.csv,shapefiles/mammals/Thomomys talpoides.shp
Tremarctos floridanus,19,CSV/mammals/Tremarctos floridanus.csv,shapefiles/mammals/Tremarctos floridanus.shp
Urocyon cinereoargenteus,487,CSV/mammals/Urocyon cinereoargenteus.csv,shapefiles/mammals/Urocyon cinereoargenteus.shp
Urocyon sp.,13,CSV/mammals/Urocyon sp..csv,shapefiles/mammals/Urocyon sp..shp
Ursus americanus,571,CSV/mammals/Ursus americanus.csv,shapefiles/mammals/Ursus americanus.shp
Ursus arctos,71,CSV/mammals/Ursus arctos.csv,shapefiles/mammals/Ursus arctos.shp
Ursus sp.,99,CSV/mammals/Ursus sp..csv,shapefiles/mammals/Ursus sp..shp
Vulpes macrotis,46,CSV/mammals/Vulpes macrotis.csv,shapefiles/mammals/Vulpes macrotis.shp
Vulpes sp.,64,CSV/mammals/Vulpes sp..csv,shapefiles/mammals/Vulpes sp..shp
Vulpes velox,104,CSV/mammals/Vulpes velox.csv,shapefiles/mammals/Vulpes velox.shp
Vulpes vulpes,262,CSV/mammals/Vulpes vulpes.csv,shapefiles/mammals/Vulpes vulpes.shp
Zalophus californianus,23,CSV/mammals/Zalophus californianus.csv,shapefiles/mammals/Zalophus californianus.shp
Zapus hudsonius,84,CSV/mammals/Zapus hudsonius.csv,shapefiles/mammals/Zapus hudsonius.shp
