SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Colo Marsh,42.02,-93.27,,,8459.0,Radiocarbon years BP,ABIES,15.0,1.6251354279523293,198.0,COLOMSH
Dunnigan Lake,47.708333,-91.641667,,,-33.0,Radiocarbon years BP,ABIES,1.0,0.425531914893617,0.25,DUNNIGAN
Dunnigan Lake,47.708333,-91.641667,,,-20.0,Radiocarbon years BP,ABIES,2.0,0.9615384615384616,4.25,DUNNIGAN
Dunnigan Lake,47.708333,-91.641667,,,-15.0,Radiocarbon years BP,ABIES,2.0,0.975609756097561,5.25,DUNNIGAN
Dunnigan Lake,47.708333,-91.641667,,,7.0,Radiocarbon years BP,ABIES,6.0,2.575107296137339,9.25,DUNNIGAN
Dunnigan Lake,47.708333,-91.641667,,,21.0,Radiocarbon years BP,ABIES,1.0,0.5,11.25,DUNNIGAN
Dunnigan Lake,47.708333,-91.641667,,,39.0,Radiocarbon years BP,ABIES,5.0,2.28310502283105,14.75,DUNNIGAN
Dunnigan Lake,47.708333,-91.641667,,,53.0,Radiocarbon years BP,ABIES,1.0,0.45454545454545453,17.25,DUNNIGAN
Dunnigan Lake,47.708333,-91.641667,,,68.0,Radiocarbon years BP,ABIES,3.0,1.2048192771084338,19.75,DUNNIGAN
Dunnigan Lake,47.708333,-91.641667,,,119.0,Radiocarbon years BP,ABIES,4.0,1.9047619047619049,28.75,DUNNIGAN
Dunnigan Lake,47.708333,-91.641667,,,237.0,Radiocarbon years BP,ABIES,2.0,0.8547008547008548,49.5,DUNNIGAN
Emerald Lake,44.066667,-110.3,,,2753.0,Radiocarbon years BP,ABIES,52.0,12.935323383084576,120.0,EMERALD
Emerald Lake,44.066667,-110.3,,,6019.0,Radiocarbon years BP,ABIES,46.0,14.603174603174605,280.0,EMERALD
Emerald Lake,44.066667,-110.3,,,8040.0,Radiocarbon years BP,ABIES,13.0,3.25,360.0,EMERALD
Emerald Lake,44.066667,-110.3,,,9655.0,Radiocarbon years BP,ABIES,23.0,7.142857142857142,400.0,EMERALD
Hostage Lake,46.55,-94.133333,,,1270.0,Radiocarbon years BP,ABIES,0.5,0.12886597938144329,180.0,HOSTAGE
Hostage Lake,46.55,-94.133333,,,3370.0,Radiocarbon years BP,ABIES,1.0,0.4008016032064128,375.0,HOSTAGE
Hug Lake,47.958333,-90.933333,,,-14.0,Radiocarbon years BP,ABIES,2.0,0.7722007722007722,2.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,-9.0,Radiocarbon years BP,ABIES,3.0,0.7462686567164178,4.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,-6.0,Radiocarbon years BP,ABIES,4.0,1.0582010582010581,5.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,-3.0,Radiocarbon years BP,ABIES,8.0,1.9230769230769231,6.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,3.0,Radiocarbon years BP,ABIES,7.0,1.627906976744186,8.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,8.0,Radiocarbon years BP,ABIES,6.0,1.6260162601626018,10.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,14.0,Radiocarbon years BP,ABIES,5.0,1.1363636363636365,12.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,20.0,Radiocarbon years BP,ABIES,7.0,1.8867924528301887,14.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,25.0,Radiocarbon years BP,ABIES,2.0,0.5208333333333333,16.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,31.0,Radiocarbon years BP,ABIES,5.0,1.282051282051282,18.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,36.0,Radiocarbon years BP,ABIES,8.0,1.7777777777777777,20.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,42.0,Radiocarbon years BP,ABIES,8.0,2.0100502512562812,22.0,HUGLAKE
Hug Lake,47.958333,-90.933333,,,51.0,Radiocarbon years BP,ABIES,8.0,1.9464720194647203,24.0,HUGLAKE
