SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth
Lake Patzcuaro,19.583333,-101.583333,,,2796.0,Radiocarbon years BP,ALNUSX,4.0,1.6597510373443984,815.0
Lake Patzcuaro,19.583333,-101.583333,,,3323.0,Radiocarbon years BP,ALNUSX,16.0,5.9259259259259265,855.0
Lake Patzcuaro,19.583333,-101.583333,,,3452.0,Radiocarbon years BP,ALNUSX,14.0,4.444444444444445,865.0
Lake Patzcuaro,19.583333,-101.583333,,,3827.0,Radiocarbon years BP,ALNUSX,9.0,2.8213166144200628,885.0
Lake Patzcuaro,19.583333,-101.583333,,,4506.0,Radiocarbon years BP,ALNUSX,8.0,2.5236593059936907,905.0
Lake Patzcuaro,19.583333,-101.583333,,,5185.0,Radiocarbon years BP,ALNUSX,22.0,7.0287539936102235,925.0
Lake Patzcuaro,19.583333,-101.583333,,,5865.0,Radiocarbon years BP,ALNUSX,53.0,17.320261437908496,945.0
Lake Patzcuaro,19.583333,-101.583333,,,6544.0,Radiocarbon years BP,ALNUSX,57.0,19.12751677852349,965.0
Lake Patzcuaro,19.583333,-101.583333,,,7223.0,Radiocarbon years BP,ALNUSX,43.0,13.65079365079365,985.0
Lake Patzcuaro,19.583333,-101.583333,,,7902.0,Radiocarbon years BP,ALNUSX,62.0,18.731117824773413,1005.0
Lake Patzcuaro,19.583333,-101.583333,,,8582.0,Radiocarbon years BP,ALNUSX,45.0,14.423076923076922,1025.0
Lake Patzcuaro,19.583333,-101.583333,,,9810.0,Radiocarbon years BP,ALNUSX,25.0,8.27814569536424,1065.0
Lake Patzcuaro,19.583333,-101.583333,,,10928.0,Radiocarbon years BP,ALNUSX,40.0,14.13427561837456,1105.0
Lake Patzcuaro,19.583333,-101.583333,,,12045.0,Radiocarbon years BP,ALNUSX,60.0,22.727272727272727,1145.0
Lake Patzcuaro,19.583333,-101.583333,,,13162.0,Radiocarbon years BP,ALNUSX,77.0,26.551724137931032,1185.0
Lake Patzcuaro,19.583333,-101.583333,,,14279.0,Radiocarbon years BP,ALNUSX,84.0,28.668941979522184,1225.0
Lake Patzcuaro,19.583333,-101.583333,,,15396.0,Radiocarbon years BP,ALNUSX,65.0,20.967741935483872,1265.0
Lake Patzcuaro,19.583333,-101.583333,,,16513.0,Radiocarbon years BP,ALNUSX,91.0,25.068870523415974,1305.0
Lake Patzcuaro,19.583333,-101.583333,,,17630.0,Radiocarbon years BP,ALNUSX,40.0,13.793103448275861,1345.0
Lake Patzcuaro,19.583333,-101.583333,,,19152.0,Radiocarbon years BP,ALNUSX,58.0,18.471337579617835,1385.0
Lake Patzcuaro,19.583333,-101.583333,,,20701.0,Radiocarbon years BP,ALNUSX,62.0,20.875420875420875,1425.0
Lake Patzcuaro,19.583333,-101.583333,,,21476.0,Radiocarbon years BP,ALNUSX,51.0,18.88888888888889,1445.0
Lake Patzcuaro,19.583333,-101.583333,,,23025.0,Radiocarbon years BP,ALNUSX,45.0,15.306122448979592,1485.0
Lake Patzcuaro,19.583333,-101.583333,,,23799.0,Radiocarbon years BP,ALNUSX,35.0,10.703363914373089,1505.0
Lake Patzcuaro,19.583333,-101.583333,,,25348.0,Radiocarbon years BP,ALNUSX,23.0,8.455882352941178,1545.0
Lake Patzcuaro,19.583333,-101.583333,,,26138.0,Radiocarbon years BP,ALNUSX,27.0,9.540636042402827,1585.0
Lake Patzcuaro,19.583333,-101.583333,,,26781.0,Radiocarbon years BP,ALNUSX,32.0,9.60960960960961,1625.0
Lake Patzcuaro,19.583333,-101.583333,,,27343.0,Radiocarbon years BP,ALNUSX,65.0,21.311475409836063,1660.0
Lake Patzcuaro,19.583333,-101.583333,,,27745.0,Radiocarbon years BP,ALNUSX,50.0,16.666666666666664,1685.0
Lake Patzcuaro,19.583333,-101.583333,,,28066.0,Radiocarbon years BP,ALNUSX,25.0,8.012820512820513,1705.0
Lake Patzcuaro,19.583333,-101.583333,,,28709.0,Radiocarbon years BP,ALNUSX,42.0,13.680781758957655,1745.0
Lake Patzcuaro,19.583333,-101.583333,,,29351.0,Radiocarbon years BP,ALNUSX,32.0,10.738255033557047,1785.0
Lake Patzcuaro,19.583333,-101.583333,,,29994.0,Radiocarbon years BP,ALNUSX,58.0,19.52861952861953,1825.0
Lake Patzcuaro,19.583333,-101.583333,,,30956.0,Radiocarbon years BP,ALNUSX,23.0,7.540983606557377,1865.0
Lake Patzcuaro,19.583333,-101.583333,,,33102.0,Radiocarbon years BP,ALNUSX,48.0,15.238095238095239,1905.0
Lake Patzcuaro,19.583333,-101.583333,,,37930.0,Radiocarbon years BP,ALNUSX,48.0,21.524663677130047,1995.0
Lake Patzcuaro,19.583333,-101.583333,,,39540.0,Radiocarbon years BP,ALNUSX,39.0,13.978494623655912,2025.0
Lake Patzcuaro,19.583333,-101.583333,,,41686.0,Radiocarbon years BP,ALNUSX,28.0,9.30232558139535,2065.0
Lake Patzcuaro,19.583333,-101.583333,,,42759.0,Radiocarbon years BP,ALNUSX,55.0,23.404255319148938,2085.0
Lake Patzcuaro,19.583333,-101.583333,,,44100.0,Radiocarbon years BP,ALNUSX,29.0,9.965635738831615,2110.0
Hoya San Nicolás,20.388199999999998,-101.256,9070.0,10227.0,9677.0,Calibrated radiocarbon years BP,ALNUSX,2.0,7.142857142857142,454.5
Hoya San Nicolás,20.388199999999998,-101.256,10035.0,10889.0,10566.0,Calibrated radiocarbon years BP,ALNUSX,1.0,3.571428571428571,489.5
Hoya Rincon de Parangueo,20.43105,-101.249,71.0,672.0,325.0,Calibrated radiocarbon years BP,ALNUSX,15.0,3.6855036855036856,52.0
Hoya Rincon de Parangueo,20.43105,-101.249,171.0,844.0,476.0,Calibrated radiocarbon years BP,ALNUSX,12.0,2.912621359223301,73.0
Hoya Rincon de Parangueo,20.43105,-101.249,275.0,968.0,605.0,Calibrated radiocarbon years BP,ALNUSX,19.0,5.322128851540616,91.0
Hoya Rincon de Parangueo,20.43105,-101.249,357.0,1078.0,707.0,Calibrated radiocarbon years BP,ALNUSX,8.0,2.1108179419525066,105.0
Hoya Rincon de Parangueo,20.43105,-101.249,488.0,1223.0,861.0,Calibrated radiocarbon years BP,ALNUSX,15.0,4.010695187165775,126.0
Hoya Rincon de Parangueo,20.43105,-101.249,560.0,1285.0,939.0,Calibrated radiocarbon years BP,ALNUSX,16.0,4.145077720207254,137.0
Hoya Rincon de Parangueo,20.43105,-101.249,684.0,1356.0,1051.0,Calibrated radiocarbon years BP,ALNUSX,10.0,2.5974025974025974,153.0
Hoya Rincon de Parangueo,20.43105,-101.249,784.0,1423.0,1136.0,Calibrated radiocarbon years BP,ALNUSX,17.0,3.9812646370023423,165.0
Hoya Rincon de Parangueo,20.43105,-101.249,889.0,1490.0,1222.0,Calibrated radiocarbon years BP,ALNUSX,18.0,4.3478260869565215,177.0
Hoya Rincon de Parangueo,20.43105,-101.249,947.0,1519.0,1258.0,Calibrated radiocarbon years BP,ALNUSX,18.0,4.37956204379562,182.0
Hoya Rincon de Parangueo,20.43105,-101.249,1074.0,1547.0,1311.0,Calibrated radiocarbon years BP,ALNUSX,26.0,6.235011990407674,189.0
Hoya Rincon de Parangueo,20.43105,-101.249,1146.0,1577.0,1357.0,Calibrated radiocarbon years BP,ALNUSX,12.0,2.8503562945368173,195.0
Hoya Rincon de Parangueo,20.43105,-101.249,1227.0,1619.0,1412.0,Calibrated radiocarbon years BP,ALNUSX,23.0,6.020942408376963,202.0
Hoya Rincon de Parangueo,20.43105,-101.249,1325.0,1680.0,1481.0,Calibrated radiocarbon years BP,ALNUSX,27.0,6.923076923076923,210.0
Hoya Rincon de Parangueo,20.43105,-101.249,1391.0,1825.0,1588.0,Calibrated radiocarbon years BP,ALNUSX,22.0,5.527638190954774,222.0
Hoya Rincon de Parangueo,20.43105,-101.249,1470.0,1998.0,1721.0,Calibrated radiocarbon years BP,ALNUSX,23.0,5.943152454780361,235.0
Hoya Rincon de Parangueo,20.43105,-101.249,1587.0,2144.0,1858.0,Calibrated radiocarbon years BP,ALNUSX,22.0,5.626598465473146,248.0
Hoya Rincon de Parangueo,20.43105,-101.249,1870.0,2339.0,2118.0,Calibrated radiocarbon years BP,ALNUSX,31.0,7.654320987654321,273.0
Hoya Rincon de Parangueo,20.43105,-101.249,1996.0,2431.0,2236.0,Calibrated radiocarbon years BP,ALNUSX,28.0,7.052896725440807,288.0
Hoya Rincon de Parangueo,20.43105,-101.249,2073.0,2516.0,2309.0,Calibrated radiocarbon years BP,ALNUSX,26.0,6.7885117493472595,301.0
Hoya Rincon de Parangueo,20.43105,-101.249,2146.0,2570.0,2376.0,Calibrated radiocarbon years BP,ALNUSX,23.0,5.623471882640587,316.0
Hoya Rincon de Parangueo,20.43105,-101.249,2195.0,2608.0,2417.0,Calibrated radiocarbon years BP,ALNUSX,26.0,6.914893617021277,325.0
Hoya Rincon de Parangueo,20.43105,-101.249,2248.0,2654.0,2477.0,Calibrated radiocarbon years BP,ALNUSX,15.0,3.95778364116095,338.0
Hoya Rincon de Parangueo,20.43105,-101.249,2323.0,2685.0,2529.0,Calibrated radiocarbon years BP,ALNUSX,22.0,5.7441253263707575,350.0
Hoya Rincon de Parangueo,20.43105,-101.249,2426.0,2747.0,2625.0,Calibrated radiocarbon years BP,ALNUSX,32.0,8.10126582278481,369.0
Hoya Rincon de Parangueo,20.43105,-101.249,2505.0,2900.0,2722.0,Calibrated radiocarbon years BP,ALNUSX,20.0,5.0,385.0
Hoya Rincon de Parangueo,20.43105,-101.249,2569.0,3089.0,2821.0,Calibrated radiocarbon years BP,ALNUSX,24.0,6.299212598425196,400.0
Hoya Rincon de Parangueo,20.43105,-101.249,2649.0,3165.0,2908.0,Calibrated radiocarbon years BP,ALNUSX,22.0,5.729166666666666,413.0
Hoya Rincon de Parangueo,20.43105,-101.249,2734.0,3257.0,2994.0,Calibrated radiocarbon years BP,ALNUSX,31.0,7.8085642317380355,426.0
Hoya Rincon de Parangueo,20.43105,-101.249,2784.0,3300.0,3048.0,Calibrated radiocarbon years BP,ALNUSX,32.0,7.766990291262135,434.0
Hoya Rincon de Parangueo,20.43105,-101.249,2927.0,3417.0,3188.0,Calibrated radiocarbon years BP,ALNUSX,23.0,5.476190476190476,455.0
Hoya Rincon de Parangueo,20.43105,-101.249,3122.0,3551.0,3348.0,Calibrated radiocarbon years BP,ALNUSX,23.0,6.166219839142091,478.0
Hoya Rincon de Parangueo,20.43105,-101.249,3250.0,3851.0,3526.0,Calibrated radiocarbon years BP,ALNUSX,35.0,8.274231678486997,503.0
Hoya Rincon de Parangueo,20.43105,-101.249,3370.0,4108.0,3699.0,Calibrated radiocarbon years BP,ALNUSX,42.0,9.545454545454547,526.0
Hoya Rincon de Parangueo,20.43105,-101.249,3492.0,4298.0,3864.0,Calibrated radiocarbon years BP,ALNUSX,10.0,2.3980815347721824,548.0
Hoya Rincon de Parangueo,20.43105,-101.249,3538.0,4390.0,3946.0,Calibrated radiocarbon years BP,ALNUSX,23.0,5.4373522458628845,559.0
Hoya Rincon de Parangueo,20.43105,-101.249,3712.0,4571.0,4124.0,Calibrated radiocarbon years BP,ALNUSX,48.0,11.650485436893204,583.0
Hoya Rincon de Parangueo,20.43105,-101.249,3846.0,4732.0,4283.0,Calibrated radiocarbon years BP,ALNUSX,54.0,12.826603325415679,604.0
Hoya Rincon de Parangueo,20.43105,-101.249,3996.0,4877.0,4439.0,Calibrated radiocarbon years BP,ALNUSX,45.0,10.588235294117647,626.0
Hoya Rincon de Parangueo,20.43105,-101.249,4362.0,5143.0,4752.0,Calibrated radiocarbon years BP,ALNUSX,44.0,11.055276381909549,669.0
Hoya Rincon de Parangueo,20.43105,-101.249,4631.0,5304.0,4978.0,Calibrated radiocarbon years BP,ALNUSX,37.0,9.711286089238845,699.0
Hoya Rincon de Parangueo,20.43105,-101.249,4796.0,5639.0,5196.0,Calibrated radiocarbon years BP,ALNUSX,41.0,10.406091370558377,725.0
Hoya Rincon de Parangueo,20.43105,-101.249,4856.0,5726.0,5270.0,Calibrated radiocarbon years BP,ALNUSX,33.0,7.990314769975787,734.0
Hoya Rincon de Parangueo,20.43105,-101.249,5007.0,5971.0,5463.0,Calibrated radiocarbon years BP,ALNUSX,53.0,12.80193236714976,757.0
Hoya Rincon de Parangueo,20.43105,-101.249,5162.0,6202.0,5668.0,Calibrated radiocarbon years BP,ALNUSX,57.0,13.317757009345794,781.0
Hoya Rincon de Parangueo,20.43105,-101.249,5406.0,6471.0,5947.0,Calibrated radiocarbon years BP,ALNUSX,53.0,14.209115281501342,813.0
Hoya Rincon de Parangueo,20.43105,-101.249,5591.0,6680.0,6158.0,Calibrated radiocarbon years BP,ALNUSX,54.0,12.646370023419204,838.0
Hoya Rincon de Parangueo,20.43105,-101.249,5828.0,6886.0,6380.0,Calibrated radiocarbon years BP,ALNUSX,60.0,15.706806282722512,865.0
Hoya Rincon de Parangueo,20.43105,-101.249,6200.0,7157.0,6721.0,Calibrated radiocarbon years BP,ALNUSX,60.0,14.563106796116504,908.0
Hoya Rincon de Parangueo,20.43105,-101.249,6432.0,7312.0,6931.0,Calibrated radiocarbon years BP,ALNUSX,39.0,10.512129380053908,933.0
Hoya Rincon de Parangueo,20.43105,-101.249,6651.0,7421.0,7108.0,Calibrated radiocarbon years BP,ALNUSX,52.0,13.866666666666665,954.0
Hoya Rincon de Parangueo,20.43105,-101.249,7074.0,7549.0,7364.0,Calibrated radiocarbon years BP,ALNUSX,45.0,10.739856801909307,985.0
Hoya Rincon de Parangueo,20.43105,-101.249,7434.0,7663.0,7542.0,Calibrated radiocarbon years BP,ALNUSX,63.0,16.890080428954423,1005.0
Hoya Rincon de Parangueo,20.43105,-101.249,7545.0,8130.0,7782.0,Calibrated radiocarbon years BP,ALNUSX,77.0,18.59903381642512,1030.0
Hoya Rincon de Parangueo,20.43105,-101.249,7775.0,8627.0,8168.0,Calibrated radiocarbon years BP,ALNUSX,50.0,13.227513227513226,1070.0
Hoya Rincon de Parangueo,20.43105,-101.249,7918.0,8851.0,8370.0,Calibrated radiocarbon years BP,ALNUSX,52.0,13.402061855670103,1090.0
Hoya Rincon de Parangueo,20.43105,-101.249,8123.0,9081.0,8619.0,Calibrated radiocarbon years BP,ALNUSX,74.0,18.271604938271604,1115.0
Hoya Rincon de Parangueo,20.43105,-101.249,8480.0,9355.0,8983.0,Calibrated radiocarbon years BP,ALNUSX,64.0,16.710182767624023,1153.0
Hoya Rincon de Parangueo,20.43105,-101.249,8708.0,9478.0,9206.0,Calibrated radiocarbon years BP,ALNUSX,47.0,12.082262210796916,1176.0
Hoya Rincon de Parangueo,20.43105,-101.249,9024.0,9552.0,9411.0,Calibrated radiocarbon years BP,ALNUSX,38.0,9.547738693467336,1197.0
Hoya Rincon de Parangueo,20.43105,-101.249,,,9587.0,Calibrated radiocarbon years BP,ALNUSX,59.0,15.404699738903393,1215.0
Chalco Lake,19.5,-99.0,,,17505.0,Radiocarbon years BP,ASTERX,2.0,2.272727272727273,688.0
Lake Patzcuaro,19.583333,-101.583333,,,2935.0,Radiocarbon years BP,ASTERX,3.0,0.9404388714733543,825.0
Lake Patzcuaro,19.583333,-101.583333,,,3065.0,Radiocarbon years BP,ASTERX,1.0,0.32786885245901637,835.0
Sierra Bacha 1,29.7708333333333,-112.576388888889,,,5340.0,Radiocarbon years BP,BORAGINACEAE,15.0,6.2761506276150625,5340.0
Chalco Lake,19.5,-99.0,,,13812.0,Radiocarbon years BP,BRASSICACEAE,1.0,0.2958579881656805,368.0
Chalco Lake,19.5,-99.0,,,13928.0,Radiocarbon years BP,BRASSICACEAE,1.0,0.22779043280182232,378.0
Chalco Lake,19.5,-99.0,,,14158.0,Radiocarbon years BP,BRASSICACEAE,4.0,1.3245033112582782,398.0
Chalco Lake,19.5,-99.0,,,14505.0,Radiocarbon years BP,BRASSICACEAE,5.0,1.3123359580052494,428.0
Chalco Lake,19.5,-99.0,,,14620.0,Radiocarbon years BP,BRASSICACEAE,2.0,1.4388489208633095,438.0
Chalco Lake,19.5,-99.0,,,14736.0,Radiocarbon years BP,BRASSICACEAE,3.0,2.564102564102564,448.0
Chalco Lake,19.5,-99.0,,,15312.0,Radiocarbon years BP,BRASSICACEAE,2.0,1.0309278350515463,498.0
Chalco Lake,19.5,-99.0,,,15543.0,Radiocarbon years BP,BRASSICACEAE,2.0,0.5235602094240838,518.0
Chalco Lake,19.5,-99.0,,,15659.0,Radiocarbon years BP,BRASSICACEAE,2.0,0.468384074941452,528.0
Chalco Lake,19.5,-99.0,,,15774.0,Radiocarbon years BP,BRASSICACEAE,1.0,0.2932551319648094,538.0
Chalco Lake,19.5,-99.0,,,16005.0,Radiocarbon years BP,BRASSICACEAE,3.0,0.9554140127388535,558.0
Chalco Lake,19.5,-99.0,,,16178.0,Radiocarbon years BP,BRASSICACEAE,5.0,6.172839506172839,573.0
Chalco Lake,19.5,-99.0,,,16813.0,Radiocarbon years BP,BRASSICACEAE,2.0,0.6711409395973155,628.0
Chalco Lake,19.5,-99.0,,,17044.0,Radiocarbon years BP,BRASSICACEAE,4.0,1.8957345971563981,648.0
Chalco Lake,19.5,-99.0,,,17159.0,Radiocarbon years BP,BRASSICACEAE,1.0,0.7352941176470588,658.0
Chalco Lake,19.5,-99.0,,,18082.0,Radiocarbon years BP,BRASSICACEAE,5.0,2.05761316872428,738.0
Chalco Lake,19.5,-99.0,,,18198.0,Radiocarbon years BP,BRASSICACEAE,2.0,0.7142857142857143,748.0
Chalco Lake,19.5,-99.0,,,18359.0,Radiocarbon years BP,BRASSICACEAE,4.0,1.1695906432748537,762.0
Chalco Lake,19.5,-99.0,,,18417.0,Radiocarbon years BP,BRASSICACEAE,2.0,0.7751937984496124,767.0
Chalco Lake,19.5,-99.0,,,18463.0,Radiocarbon years BP,BRASSICACEAE,2.0,0.8583690987124464,771.0
Chalco Lake,19.5,-99.0,,,18532.0,Radiocarbon years BP,BRASSICACEAE,1.0,0.425531914893617,777.0
Chalco Lake,19.5,-99.0,,,18878.0,Radiocarbon years BP,BRASSICACEAE,1.0,0.9174311926605505,807.0
Chalco Lake,19.5,-99.0,,,18994.0,Radiocarbon years BP,BRASSICACEAE,2.0,2.272727272727273,817.0
Chalco Lake,19.5,-99.0,,,17736.0,Radiocarbon years BP,CARYOPHYLL,1.0,0.7518796992481203,708.0
Chalco Lake,19.5,-99.0,,,17851.0,Radiocarbon years BP,CARYOPHYLL,1.0,0.4032258064516129,718.0
