SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Banks Island 74MS12,72.366667,-119.833333,,,460,Radiocarbon years BP,BRASSICACEAE,5,1.587301587,10,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,1735,Radiocarbon years BP,BRASSICACEAE,5,1.612903226,35,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,1990,Radiocarbon years BP,BRASSICACEAE,3,0.898203593,40,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,2245,Radiocarbon years BP,BRASSICACEAE,6,1.941747573,45,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,2500,Radiocarbon years BP,BRASSICACEAE,5,1.557632399,50,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,3344,Radiocarbon years BP,BRASSICACEAE,9,2.623906706,65,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,3625,Radiocarbon years BP,BRASSICACEAE,8,2.431610942,70,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,3906,Radiocarbon years BP,BRASSICACEAE,3,0.826446281,75,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,4188,Radiocarbon years BP,BRASSICACEAE,5,1.597444089,80,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,4750,Radiocarbon years BP,BRASSICACEAE,16,5.047318612,90,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,5031,Radiocarbon years BP,BRASSICACEAE,10,2.754820937,95,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,5594,Radiocarbon years BP,BRASSICACEAE,7,1.923076923,105,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,5875,Radiocarbon years BP,BRASSICACEAE,7,1.818181818,110,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,6719,Radiocarbon years BP,BRASSICACEAE,7,2.028985507,125,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,7000,Radiocarbon years BP,BRASSICACEAE,5,1.488095238,130,BI74MS12
Banks Island 74MS12,72.366667,-119.833333,,,9000,Radiocarbon years BP,BRASSICACEAE,7,2.295081967,165,BI74MS12
Compass Pond,50.034167,-56.196389,,,12205,Radiocarbon years BP,BRASSICACEAE,1,4.761904762,580,COMPASS
Compass Pond,50.034167,-56.196389,,,12752,Radiocarbon years BP,BRASSICACEAE,1,4.761904762,600,COMPASS
Graham Lake,45.183333,-77.35,,,5196,Radiocarbon years BP,BRASSICACEAE,2,0.190839695,1055,GRAHAM
Graham Lake,45.183333,-77.35,,,5915,Radiocarbon years BP,BRASSICACEAE,1,0.098231827,1076,GRAHAM
Grenadier Pond,43.64,-79.47,,,4094,Radiocarbon years BP,BRASSICACEAE,1,0.303030303,780,GRENADIE
High Lake,44.516667,-76.6,,,7685,Radiocarbon years BP,BRASSICACEAE,2,0.201409869,1191,HIGHLAKE
High Lake,44.516667,-76.6,,,7735,Radiocarbon years BP,BRASSICACEAE,2,0.1998002,1193,HIGHLAKE
Humber Pond 5,43.64,-79.49,,,339,Radiocarbon years BP,BRASSICACEAE,2,0.203873598,80,HUMBER5
Humber Pond 5,43.64,-79.49,,,2170,Radiocarbon years BP,BRASSICACEAE,5,0.196463654,500,HUMBER5
Pasqua Lake,50.78,-104,,,195,Radiocarbon years BP,BRASSICACEAE,1,0.3125,107,PASQUA
Point Escuminac,47.075,-64.8,11730,12117,11926,Calibrated Radiocarbon Years BP (Blois),BRASSICACEAE,1,0.427350427,497.5,PTESCUMI
Point Escuminac,47.075,-64.8,11878,12276,12080,Calibrated Radiocarbon Years BP (Blois),BRASSICACEAE,1,0.5,501.5,PTESCUMI
Point Escuminac,47.075,-64.8,12104,12519,12314,Calibrated Radiocarbon Years BP (Blois),BRASSICACEAE,1,0.377358491,507.5,PTESCUMI
Point Escuminac,47.075,-64.8,12178,12599,12392,Calibrated Radiocarbon Years BP (Blois),BRASSICACEAE,1,0.584795322,509.5,PTESCUMI
Point Escuminac,47.075,-64.8,12254,12681,12471,Calibrated Radiocarbon Years BP (Blois),BRASSICACEAE,1,0.27027027,511.5,PTESCUMI
Rattle Lake,49.35,-92.7,,,5980,Radiocarbon years BP,BRASSICACEAE,1,0.167785235,985,RATTLE
Rattle Lake,49.35,-92.7,,,6175,Radiocarbon years BP,BRASSICACEAE,1,0.140252454,1000,RATTLE
Rattle Lake,49.35,-92.7,,,9285,Radiocarbon years BP,BRASSICACEAE,1,0.182149362,1225,RATTLE
Rattle Lake,49.35,-92.7,,,9573,Radiocarbon years BP,BRASSICACEAE,1,0.181818182,1230,RATTLE
Rattle Lake,49.35,-92.7,,,10535,Radiocarbon years BP,BRASSICACEAE,1,0.252525253,1251,RATTLE
Rattle Lake,49.35,-92.7,,,10710,Radiocarbon years BP,BRASSICACEAE,5,0.959692898,1256,RATTLE
Lac des Roches Moutonn̩es,56.766667,-64.816667,,,731,Radiocarbon years BP,BRASSICACEAE,1,0.282485876,20,ROCHMOUT
Wild Spear Lake,59.25,-114.15,,,10460,Radiocarbon years BP,BRASSICACEAE,2,1.117318436,280,WLDSPEAR
Crater Lake,49.19225,-120.09585,2349,3132,2752,Calibrated radiocarbon years BP,BRASSICACEAE,1,0.282485876,120.3,CRATERBC
Patricia Bay Lake,70.46194444,-68.50277778,-4,334,119,Calibrated radiocarbon years BP,BRASSICACEAE,1,0.237529691,1,PATBAY
Patricia Bay Lake,70.46194444,-68.50277778,51,1700,632,Calibrated radiocarbon years BP,BRASSICACEAE,1,0.286532951,5,PATBAY
Patricia Bay Lake,70.46194444,-68.50277778,241,2010,976,Calibrated radiocarbon years BP,BRASSICACEAE,1,0.303030303,7.5,PATBAY
Patricia Bay Lake,70.46194444,-68.50277778,3080,4234,3751,Calibrated radiocarbon years BP,BRASSICACEAE,3,0.849858357,30,PATBAY
Patricia Bay Lake,70.46194444,-68.50277778,5739,7043,6422,Calibrated radiocarbon years BP,BRASSICACEAE,1,0.531914894,87.5,PATBAY
Spirea Wetland,43.26191,-80.25924167,12268,13295,12822,Radiocarbon years BP,BRASSICACEAE,1,0.07800312,330,SPIREA
Carp Lake,45.918056,-120.880556,,,8028,Radiocarbon years BP,BRASSICACEAE,1,0.315457413,293,CARPLAKE
Carp Lake,45.918056,-120.880556,,,17152,Radiocarbon years BP,BRASSICACEAE,1,0.321543408,461,CARPLAKE
Carp Lake,45.918056,-120.880556,,,17455,Radiocarbon years BP,BRASSICACEAE,1,0.265957447,468,CARPLAKE
Carp Lake,45.918056,-120.880556,,,20422,Radiocarbon years BP,BRASSICACEAE,2,0.414937759,559,CARPLAKE
Carp Lake,45.918056,-120.880556,,,20693,Radiocarbon years BP,BRASSICACEAE,1,0.244498778,568,CARPLAKE
Carp Lake,45.918056,-120.880556,,,26118,Radiocarbon years BP,BRASSICACEAE,2,0.55401662,703,CARPLAKE
Carp Lake,45.918056,-120.880556,,,27407,Radiocarbon years BP,BRASSICACEAE,1,0.19047619,718,CARPLAKE
Carp Lake,45.918056,-120.880556,,,27964,Radiocarbon years BP,BRASSICACEAE,1,0.209643606,724,CARPLAKE
Carp Lake,45.918056,-120.880556,,,31586,Radiocarbon years BP,BRASSICACEAE,1,0.14619883,763,CARPLAKE
Carp Lake,45.918056,-120.880556,,,32050,Radiocarbon years BP,BRASSICACEAE,3,0.683371298,768,CARPLAKE
Clear Pond,33.798895,-78.95336,,,14780,Radiocarbon years BP,BRASSICACEAE,1,0.24691358,738,CLEARPND
Clear Pond,33.798895,-78.95336,,,15395,Radiocarbon years BP,BRASSICACEAE,3,0.825309491,774,CLEARPND
Clear Pond,33.798895,-78.95336,,,16489,Radiocarbon years BP,BRASSICACEAE,1,0.234466589,838,CLEARPND
Clear Pond,33.798895,-78.95336,,,17123,Radiocarbon years BP,BRASSICACEAE,1,0.23174971,874,CLEARPND
Faith Pond,47.272455,-96.09405,,,-12,Radiocarbon years BP,BRASSICACEAE,1,0.208768267,1,FAITH
Faith Pond,47.272455,-96.09405,,,189,Radiocarbon years BP,BRASSICACEAE,1,0.236406619,60,FAITH
George Lake,44.2329,-93.87066,,,234,Calendar years BP,BRASSICACEAE,1,0.198412698,90,MNBELG
George Lake,44.2329,-93.87066,,,179,Calendar years BP,BRASSICACEAE,1,0.210970464,70,MNBELG
George Lake,44.2329,-93.87066,,,234,Calendar years BP,BRASSICACEAE,1,0.198412698,90,MNBELG
Lily Lake,59.2,-135.4,,,54,Radiocarbon years BP,BRASSICACEAE,2,0.481927711,1,LILYAK
Lily Lake,59.2,-135.4,,,54,Radiocarbon years BP,BRASSICACEAE,2,0.481927711,1,LILYAK
Lake West Okoboji,43.333333,-95.2,,,0,Radiocarbon years BP,BRASSICACEAE,1,0.322580645,2,OKOBOJI
Lake West Okoboji,43.333333,-95.2,,,10094,Radiocarbon years BP,BRASSICACEAE,1,0.294117647,1000,OKOBOJI
Swamp Lake,37.95,-119.816667,,,6138,Radiocarbon years BP,BRASSICACEAE,3,0.697674419,380,SWAMPLK
Swamp Lake,37.95,-119.816667,,,7615,Radiocarbon years BP,BRASSICACEAE,3,0.791556728,460,SWAMPLK
Swamp Lake,37.95,-119.816667,,,13968,Radiocarbon years BP,BRASSICACEAE,2,0.938967136,720,SWAMPLK
Head Lake,37.7,-105.5,,,112,Radiocarbon years BP,BRASSICACEAE,1,0.346020761,10,HEADLAKE
Head Lake,37.7,-105.5,,,9702,Radiocarbon years BP,BRASSICACEAE,1,0.332225914,50,HEADLAKE
Head Lake,37.7,-105.5,,,10842,Radiocarbon years BP,BRASSICACEAE,2,0.722021661,70,HEADLAKE
Head Lake,37.7,-105.5,,,15972,Radiocarbon years BP,BRASSICACEAE,2,1.941747573,160,HEADLAKE
Hemlock Hollow,42.5375,-72.178,,,173,Radiocarbon years BP,BRASSICACEAE,3,0.444444444,11,HEMLKHOL
Hemlock Hollow,42.5375,-72.178,,,179,Radiocarbon years BP,BRASSICACEAE,3,0.447761194,12,HEMLKHOL
Hemlock Hollow,42.5375,-72.178,,,184,Radiocarbon years BP,BRASSICACEAE,2,0.320512821,13,HEMLKHOL
Hemlock Hollow,42.5375,-72.178,,,190,Radiocarbon years BP,BRASSICACEAE,4,0.540540541,14,HEMLKHOL
Hemlock Hollow,42.5375,-72.178,,,1090,Radiocarbon years BP,BRASSICACEAE,1,0.189393939,18,HEMLKHOL
Hemlock Hollow,42.5375,-72.178,,,1540,Radiocarbon years BP,BRASSICACEAE,2,0.366972477,20,HEMLKHOL
Hemlock Hollow,42.5375,-72.178,,,1765,Radiocarbon years BP,BRASSICACEAE,1,0.24691358,21,HEMLKHOL
Hemlock Hollow,42.5375,-72.178,,,2665,Radiocarbon years BP,BRASSICACEAE,1,0.163398693,25,HEMLKHOL
Hemlock Hollow,42.5375,-72.178,,,3340,Radiocarbon years BP,BRASSICACEAE,1,0.218818381,28,HEMLKHOL
Hemlock Hollow,42.5375,-72.178,,,4263,Radiocarbon years BP,BRASSICACEAE,1,0.215053763,31.5,HEMLKHOL
