SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Nichols Meadow,37.4235,-119.5785,5628,6805,6294,Calibrated radiocarbon years BP,CHRYSOLEP,1,0.274725275,194,NICHOLSM
Nichols Meadow,37.4235,-119.5785,8739,10343,9543,Calibrated radiocarbon years BP,CHRYSOLEP,1,0.301204819,300,NICHOLSM
