SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Graham Lake,45.183333,-77.35,,,3934,Radiocarbon years BP,FRAXINUX,5,0.485436893,1016,GRAHAM
Graham Lake,45.183333,-77.35,,,3965,Radiocarbon years BP,FRAXINUX,6,0.56980057,1017,GRAHAM
Graham Lake,45.183333,-77.35,,,3997,Radiocarbon years BP,FRAXINUX,4,0.38277512,1018,GRAHAM
Graham Lake,45.183333,-77.35,,,4028,Radiocarbon years BP,FRAXINUX,1,0.099009901,1019,GRAHAM
Graham Lake,45.183333,-77.35,,,4091,Radiocarbon years BP,FRAXINUX,5,0.486381323,1021,GRAHAM
Graham Lake,45.183333,-77.35,,,4122,Radiocarbon years BP,FRAXINUX,1,0.098135427,1022,GRAHAM
Graham Lake,45.183333,-77.35,,,4154,Radiocarbon years BP,FRAXINUX,4,0.390625,1023,GRAHAM
Graham Lake,45.183333,-77.35,,,4185,Radiocarbon years BP,FRAXINUX,2,0.189753321,1024,GRAHAM
Graham Lake,45.183333,-77.35,,,4249,Radiocarbon years BP,FRAXINUX,2,0.194931774,1026,GRAHAM
Graham Lake,45.183333,-77.35,,,4313,Radiocarbon years BP,FRAXINUX,2,0.193610842,1028,GRAHAM
Graham Lake,45.183333,-77.35,,,4344,Radiocarbon years BP,FRAXINUX,1,0.092081031,1029,GRAHAM
Graham Lake,45.183333,-77.35,,,4376,Radiocarbon years BP,FRAXINUX,1,0.095238095,1030,GRAHAM
Graham Lake,45.183333,-77.35,,,4473,Radiocarbon years BP,FRAXINUX,1,0.098231827,1033,GRAHAM
Graham Lake,45.183333,-77.35,,,4505,Radiocarbon years BP,FRAXINUX,2,0.2,1034,GRAHAM
Graham Lake,45.183333,-77.35,,,4537,Radiocarbon years BP,FRAXINUX,6,0.586510264,1035,GRAHAM
Graham Lake,45.183333,-77.35,,,4570,Radiocarbon years BP,FRAXINUX,4,0.389483934,1036,GRAHAM
Graham Lake,45.183333,-77.35,,,4602,Radiocarbon years BP,FRAXINUX,3,0.297619048,1037,GRAHAM
Graham Lake,45.183333,-77.35,,,4635,Radiocarbon years BP,FRAXINUX,1,0.099601594,1038,GRAHAM
Graham Lake,45.183333,-77.35,,,4732,Radiocarbon years BP,FRAXINUX,1,0.097560976,1041,GRAHAM
Graham Lake,45.183333,-77.35,,,4765,Radiocarbon years BP,FRAXINUX,1,0.096618357,1042,GRAHAM
Graham Lake,45.183333,-77.35,,,4798,Radiocarbon years BP,FRAXINUX,1,0.098328417,1043,GRAHAM
Graham Lake,45.183333,-77.35,,,4831,Radiocarbon years BP,FRAXINUX,3,0.280898876,1044,GRAHAM
Graham Lake,45.183333,-77.35,,,4864,Radiocarbon years BP,FRAXINUX,1,0.098135427,1045,GRAHAM
Graham Lake,45.183333,-77.35,,,4897,Radiocarbon years BP,FRAXINUX,1,0.096432015,1046,GRAHAM
Graham Lake,45.183333,-77.35,,,4930,Radiocarbon years BP,FRAXINUX,2,0.197238659,1047,GRAHAM
Graham Lake,45.183333,-77.35,,,4963,Radiocarbon years BP,FRAXINUX,1,0.098814229,1048,GRAHAM
Graham Lake,45.183333,-77.35,,,4996,Radiocarbon years BP,FRAXINUX,2,0.19436346,1049,GRAHAM
Graham Lake,45.183333,-77.35,,,5096,Radiocarbon years BP,FRAXINUX,1,0.092592593,1052,GRAHAM
Graham Lake,45.183333,-77.35,,,5129,Radiocarbon years BP,FRAXINUX,5,0.496031746,1053,GRAHAM
