SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Dog Lake,50.780545000000004,-115.92976999999999,4553.0,5399.0,4994.0,Calibrated radiocarbon years BP,FABACEAE,1.0,0.15748031496062992,105.0,DOGLKBC
Two Horsemen Pond,60.850205,-135.76908500000002,8336.0,10151.0,9326.0,Calibrated radiocarbon years BP,FABACEAE,1.0,0.3205128205128205,365.0,TWOHORSE
Roulston Lake (MS-78-15),46.89451,-67.4,11134.0,12325.0,11767.0,Calibrated radiocarbon years BP,FABACEAE,1.0,0.19455252918287938,417.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,11657.0,12936.0,12339.0,Calibrated radiocarbon years BP,FABACEAE,1.0,0.2380952380952381,431.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,12460.0,13213.0,12894.0,Calibrated radiocarbon years BP,FABACEAE,2.0,0.554016620498615,445.0,MS-78-15
