name,
Alces sp.,
Alilepus sp.,
Alilepus vagus,
Alilepus wilsoni,
Allophaiomys pliocaenicus,
Ammospermophilus harrisii,
Ammospermophilus interpres,
Ammospermophilus nelsoni,
Ammospermophilus sp.,
Antrozous sp.,
Anzanycteris anzensis,
Aplodontia sp.,
Arctodus sp.,
Arctodus pristinus,
Arctocephalus townsendi,
Atopomys texensis,
Aztlanolagus agilis,
Baiomys sp.,
Baiomys taylori,
Balaena mysticetus,
Bassariscus casei,
Bassariscus sp.,
Bison priscus,
Blarina hylophaga,
Blastocerus extraneus,
Bootherium sp.,
Borophagus diversidens,
Borophagus sp.,
Brachyprotoma sp.,
Brachyprotoma brevimala,
Brachyprotoma obtusata,
Buisnictis breviramus,
Calomys sp.,
Camelops huerfanensis,
Camelops kansanus,
Camelops minidokae,
Camelops sulcatus,
Camelops traviswhitei,
Canis armbrusteri,
Canis edwardii,
Canis lepophagus,
Canis priscolatrans,
Capromeryx furcifer,
Capromeryx mexicanus,
Capromeryx tauntonensis,
Castor californicus,
Castor sp.,
Castoroides leiseyorum,
Cervalces sp.,
Cervus elaphus,
Choeronycteris mexicana,
Choeronycteris sp.,
Condylura sp.,
Conepatus sp.,
Cratogeomys sp.,
Cryptotis sp.,
Cuon alpinus,
Cuvieronius tropicus,
Cuvieronius sp.,
Cynomys parvidens,
Cystophora cristata,
Dasypus novemcinctus,
Dasypus sp.,
Desmodus rotundus,
Desmodus stocki,
Desmodus sp.,
Dicrostonyx groenlandicus,
Dicrostonyx hudsonius,
Dicrostonyx sp.,
Didelphis sp.,
Didelphis marsupialis,
Dinohippus sp.,
Dinofelis palaeoonca,
Diphylla ecaudata,
Diphylla sp.,
Dipodomys agilis,
Dipodomys californicus,
Dipodomys compactus,
Dipodomys deserti,
Dipodomys elator,
Dipodomys heermanni,
Dipodomys hibbardi,
Dipodomys ingens,
Dipodomys merriami,
Dipodomys microps,
Dipodomys nitratoides,
Dipodomys panamintinus,
Dipodomys stephensi,
Dipodomys venustus,
Enhydra sp.,
Eptesicus sp.,
Equus cumminsii,
Equus enormis,
Equus excelsus,
Equus francisci,
Equus fraternus,
Equus giganteus,
Equus hemionus,
Equus idahoensis,
Equus leidyi,
Equus mexicanus,
Equus parastylidens,
Equus pacificus,
Equus scotti,
Equus simplicidens,
Equus tau,
Eremotherium sp.,
Eremotherium laurillardi,
Erethizon poyeri,
Erethizon sp.,
Erignathus barbatus,
Eschrichtius robustus,
Euderma maculatum,
Euderma sp.,
Eumops glaucinus,
Eumops perotis,
Eumops sp.,
Eumops underwoodi,
Eutamias sp.,
Felis sp.,
Geomys anzensis,
Geomys arenarius,
Geomys garbanii,
Geomys paenebursarius,
Geomys personatus,
Geomys tobinensis,
Gigantocamelus sp.,
Glossotherium sp.,
Glyptotherium sp.,
Glyptotherium arizonae,
Glyptotherium floridanum,
Glyptotherium mexicanum,
Glyptotherium texanum,
Gulo sp.,
Halichoerus grypus,
Hayoceros falkenbachi,
Hemiauchenia blancoensis,
Holmesina floridanus,
Homotherium sp.,
Homotherium serum,
Hypolagus sp.,
Hypolagus ringoldensis,
Hypolagus edensis,
Hypolagus furlongi,
Hypolagus gidleyi,
Hypolagus vetus,
Hydrochoerus sp.,
Hydrochoerus holmesi,
Hydrodamalis gigas,
Idionycteris phyllotis,
Kogia breviceps,
Lagurus sp.,
Lasionycteris noctivagans,
Lasionycteris sp.,
Lasiopodomys deceitensis,
Lasiurus borealis,
Lasiurus cinereus,
Lasiurus ega,
Lasiurus golliheri,
Lasiurus intermedius,
Lasiurus seminolus,
Lasiurus sp.,
Lemmus sibiricus,
Lemmus sp.,
Leopardus sp.,
Leptonycteris nivalis,
Leptonycteris sp.,
Lepus alleni,
Lepus callotis,
Lepus europaeus,
Lepus timidus,
Liomys irroratus,
Liomys sp.,
Lutra sp.,
Macrotus californicus,
Macrotus sp.,
Monachus tropicalis,
Mammut sp.,
Mammuthus hayi,
Mammuthus imperator,
Mammuthus exilis,
Marmota caligata,
Marmota olympus,
Marmota vancouverensis,
Megalonyx leptostomus,
Megalonyx wheatleyi,
Mephitis macroura,
Microdipodops megacephalus,
Microdipodops pallidus,
Microdipodops sp.,
Microtus australis,
Microtus abbreviatus,
Microtus llanensis,
Microtus miurus,
Microtus oeconomus,
Microtus oregoni,
Microtus paroperarius,
Microtus richardsoni,
Microtus townsendii,
Miracinonyx inexpectatus,
Miracinonyx trumani,
Mirounga angustirostris,
Mirounga leonina,
Ophiomys panacaensis,
Mimomys virginianus,
Mormoops megalophylla,
Mormoops sp.,
