ScientificName,Kingdom,Phylum, Class,,,,,,,,,,,,,,,
Abies alba,Plantae,Tracheophyta,Spermatophyta,Pan-Coniferae,Coniferae,Pinaceae,Pinaceae (vesiculate),,,,,,,,,,,
Abies nordmanniana,Plantae,Tracheophyta,Spermatophyta,Pan-Coniferae,Coniferae,Pinaceae,Pinaceae (vesiculate),,,,,,,,,,,
Acer circinatum,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Malvidae,Sapindales,Sapindaceae,Sapindaceae subf. Hippocastanoideae,Acer,,,,
Acer negundo,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Malvidae,Sapindales,Sapindaceae,Sapindaceae subf. Hippocastanoideae,Acer,,,,
Acer rubrum,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Malvidae,Sapindales,Sapindaceae,Sapindaceae subf. Hippocastanoideae,Acer,,,,
Acer saccharinum,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Malvidae,Sapindales,Sapindaceae,Sapindaceae subf. Hippocastanoideae,Acer,,,,
Acer saccharum,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Malvidae,Sapindales,Sapindaceae,Sapindaceae subf. Hippocastanoideae,Acer,,,,
Acer saccharum,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Malvidae,Sapindales,Sapindaceae,Sapindaceae subf. Hippocastanoideae,Acer,,,,
Aconogonon ochreatum,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Caryophyllales,Polygonaceae,,,,,,,,
Ageratum houstonianum,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Asterales,Asteraceae,Asteraceae subf. Asteroideae,Asteraceae tribe Eupatorieae,,
Allionia incarnata,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Caryophyllales,Nyctaginaceae,,,,,,,,
Alnus (pentaporate),Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Fabales,Betulaceae/Myricaceae,Betulaceae,,,,,
Alnus (tetraporate),Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Fabales,Betulaceae/Myricaceae,Betulaceae,,,,,
Alnus glutinosa,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Fabales,Betulaceae/Myricaceae,Betulaceae,,,,,
Alnus incana,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Fabales,Betulaceae/Myricaceae,Betulaceae,,,,,
Alnus rubra,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Fabales,Betulaceae/Myricaceae,Betulaceae,,,,,
Alnus rubra,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Fabales,Betulaceae/Myricaceae,Betulaceae,,,,,
Alnus viridis,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Fabales,Betulaceae/Myricaceae,Betulaceae,Alnus,,,,
Alnus viridis,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Fabales,Betulaceae/Myricaceae,Betulaceae,Alnus,,,,
Amaranthus australis,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Caryophyllales,Caryophyllaceae/Amaranthaceae,Amaranthaceae,,,,,,,
Ambrosia artemisiifolia,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Asterales,Asteraceae,Asteraceae subf. Asteroideae,Asteraceae tribe Heliantheae,Asteraceae subtribe Ambrosiinae,
Ambrosia artemisiifolia,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Asterales,Asteraceae,Asteraceae subf. Asteroideae,Asteraceae tribe Heliantheae,Asteraceae subtribe Ambrosiinae,
Ambrosia artemisiifolia,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Asterales,Asteraceae,Asteraceae subf. Asteroideae,Asteraceae tribe Heliantheae,Asteraceae subtribe Ambrosiinae,
Ambrosia artemisiifolia,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Asterales,Asteraceae,Asteraceae subf. Asteroideae,Asteraceae tribe Heliantheae,Asteraceae subtribe Ambrosiinae,
Artemisia herba-alba,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Asterales,Asteraceae,Asteraceae subf. Asteroideae,Asteraceae tribe Anthemideae,,
Artemisia herba-alba,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Asterales,Asteraceae,Asteraceae subf. Asteroideae,Asteraceae tribe Anthemideae,,
Artemisia vulgaris,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Asterales,Asteraceae,Asteraceae subf. Asteroideae,Asteraceae tribe Anthemideae,,
Artemisia vulgaris,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Asterales,Asteraceae,Asteraceae subf. Asteroideae,Asteraceae tribe Anthemideae,,
Athyrium alpestre,Plantae,Tracheophyta,Monilophyta,Polypodiophyta,Leptosporangiatae,Polypodiales,Polypodiales (monolete),Woodsiaceae,,,,,,,,,,
Athyrium filix-femina,Plantae,Tracheophyta,Monilophyta,Polypodiophyta,Leptosporangiatae,Polypodiales,Polypodiales (monolete),Woodsiaceae,,,,,,,,,,
