Taxon,Sites,Records,CSV,Shapefile
SHEPHERDIA,38,190,/CSV/plants/SHEPHERDIA.csv,Shapefiles/plants/SHEPHERDIA.shp
SPHAGNUM,6,9,/CSV/plants/SPHAGNUM.csv,Shapefiles/plants/SPHAGNUM.shp
TAXODIUM,5,142,/CSV/plants/TAXODIUM.csv,Shapefiles/plants/TAXODIUM.shp
THALICTRUM,62,306,/CSV/plants/THALICTRUM.csv,Shapefiles/plants/THALICTRUM.shp
TILIA,35,264,/CSV/plants/TILIA.csv,Shapefiles/plants/TILIA.shp
TSUGA EAST,73,1618,/CSV/plants/TSUGA_EAST.csv,Shapefiles/plants/TSUGA_EAST.shp
Tsuga Heterophylla,21,145,/CSV/plants/Tsuga_Heterophylla.csv,Shapefiles/plants/Tsuga_Heterophylla.shp
Tsuga mertensiana,17,242,/CSV/plants/Tsuga_mertensiana.csv,Shapefiles/plants/Tsuga_mertensiana.shp
ULMUS,60,369,/CSV/plants/ULMUS.csv,Shapefiles/plants/ULMUS.shp
Urticaceae,103,435,/CSV/plants/Urticaceae.csv,Shapefiles/plants/Urticaceae.shp
XANTHIUM,10,31,/CSV/plants/XANTHIUM.csv,Shapefiles/plants/XANTHIUM.shp
