,taxon,MappedTaxon
1280,Betula ermanii,BETULA
1281,Betula exilis,BETULA
1282,Betula exilis/B. fruticosae,BETULA
1283,Betula fruticosa,BETULA
1284,Betula glandulosa,BETULA
1285,Betula glandulosa-type,BETULA
1286,Betula humilis,BETULA
1287,Betula humilis/B. nana,BETULA
1288,Betula mandshurica,BETULA
1290,Betula middendorffii,BETULA
1291,Betula nana,BETULA
1292,Betula nana subsp. exilis,BETULA
1293,Betula nana subsp. exilis/B. fruticosa,BETULA
1294,Betula nana subsp. nana,BETULA
1295,Betula nana-type,BETULA
1296,Betula obscura,BETULA
1297,Betula occidentalis,BETULA
1298,Betula ovalifolia,BETULA
1299,Betula papyrifera,BETULA
1300,Betula pendula,BETULA
1301,Betula platyphylla,BETULA
1302,Betula pubescens,BETULA
1303,Betula pubescens sensu lato,BETULA
1304,Betula pubescens subsp. tortuosa,BETULA
1305,Betula pubescens/B. fruticosa,BETULA
1306,Betula pubescens-type,BETULA
1307,Betula schmidtii,BETULA
1308,Betula sect. Albae,BETULA
1309,Betula sect. Betula,BETULA
1310,Betula sect. Costatae,BETULA
1311,Betula sect. Fruticosae,BETULA
1312,Betula sect. Humiles,BETULA
1313,Betula sect. Nanae,BETULA
1314,Betula sp.,BETULA
1315,Betula spp.,BETULA
1316,Betula undiff.,BETULA
1317,Betula verrucosa,BETULA
1326,Betula-type,BETULA
2184,cf. Betula,BETULA
340,Alkanna,BORAGINACEAE
493,Amsinckia,BORAGINACEAE
547,Anchusa,BORAGINACEAE
548,Anchusa arvensis,BORAGINACEAE
549,Anchusa azurea,BORAGINACEAE
550,Anchusa azurea-type,BORAGINACEAE
551,Anchusa officinalis,BORAGINACEAE
552,Anchusa/Pulmonaria,BORAGINACEAE
553,Anchusa-type,BORAGINACEAE
852,Arnebia,BORAGINACEAE
853,Arnebia-type,BORAGINACEAE
1429,Boraginaceae,BORAGINACEAE
1430,Boraginaceae cf. Cynoglossum,BORAGINACEAE
1431,Boraginaceae cf. Mertensia paniculata,BORAGINACEAE
1432,Boraginaceae subf. Hydrophylloideae,BORAGINACEAE
1433,Boraginaceae subf. Hydrophylloideae undiff.,BORAGINACEAE
1435,Boraginaceae undiff.,BORAGINACEAE
1436,Borago,BORAGINACEAE
1437,Borago officinalis,BORAGINACEAE
1581,Buglossoides arvensis,BORAGINACEAE
1582,Buglossoides arvensis-type,BORAGINACEAE
2108,Cerinthe,BORAGINACEAE
2109,Cerinthe minor,BORAGINACEAE
2110,Cerinthe-type,BORAGINACEAE
3267,Cordia,BORAGINACEAE
3268,Cordia parvifolia,BORAGINACEAE
3443,Cryptantha,BORAGINACEAE
3444,Cryptantha diffusa,BORAGINACEAE
3445,Cryptantha flava-type,BORAGINACEAE
3446,Cryptantha pterocarya,BORAGINACEAE
3447,Cryptantha sp.,BORAGINACEAE
3558,Cynoglossum,BORAGINACEAE
3559,Cynoglossum-type,BORAGINACEAE
3962,Echium,BORAGINACEAE
3964,Echium plantagineum,BORAGINACEAE
3965,Echium vulgare,BORAGINACEAE
3966,Echium/Onosma,BORAGINACEAE
3967,Echium-type,BORAGINACEAE
4241,Eriodictyon,BORAGINACEAE
4315,Eucrypta-type,BORAGINACEAE
5089,Heliotropium,BORAGINACEAE
5090,Heliotropium europaeum,BORAGINACEAE
