,taxon,MappedTaxon
5739,Lepidium sp.,BRASSICACEAE
5785,Lesquerella,BRASSICACEAE
6231,Malcolmia,BRASSICACEAE
6321,Matthiola,BRASSICACEAE
8869,Rorippa,BRASSICACEAE
8870,Rorippa amphibia,BRASSICACEAE
9484,Sinapis,BRASSICACEAE
9485,Sinapis arvensis,BRASSICACEAE
9486,Sinapis-type,BRASSICACEAE
9488,Sisymbrium,BRASSICACEAE
9489,Sisymbrium sp.,BRASSICACEAE
10174,Thysanocarpus,BRASSICACEAE
1545,Browningia,CACTACEAE
1546,Browningia candelaris,CACTACEAE
1640,Cactaceae,CACTACEAE
1641,Cactaceae aff. Echinopsis,CACTACEAE
1642,Cactaceae aff. Opuntia,CACTACEAE
1643,Cactaceae undiff.,CACTACEAE
1873,Carnegiea-type,CACTACEAE
3475,Cumulopuntia,CACTACEAE
3476,Cumulopuntia boliviana,CACTACEAE
3477,Cumulopuntia sp.,CACTACEAE
3478,Cumulopuntia sphaerica,CACTACEAE
3550,Cylindropuntia,CACTACEAE
3551,Cylindropuntia imbricata,CACTACEAE
3952,Echinocereus,CACTACEAE
4538,Ferocactus,CACTACEAE
5935,Lobivia,CACTACEAE
6260,Mammillaria,CACTACEAE
7177,Opuntia,CACTACEAE
7179,Opuntia macrocentra,CACTACEAE
7180,Opuntia phaeacantha-type,CACTACEAE
7181,Opuntia sp.,CACTACEAE
7189,Oreocereus,CACTACEAE
7307,Pachycereus,CACTACEAE
8785,Rhipsalis,CACTACEAE
1759,Campanula,CAMPANULACEA
1760,Campanula aparinoides-type,CAMPANULACEA
1761,Campanula cf. C. rotundifolia,CAMPANULACEA
1762,Campanula rapunculoides,CAMPANULACEA
1763,Campanula rotundifolia,CAMPANULACEA
1764,Campanula rotundifolia-type,CAMPANULACEA
1765,Campanula uliginosa-type,CAMPANULACEA
1766,Campanula/Jasione,CAMPANULACEA
1767,Campanulaceae,CAMPANULACEA
1768,Campanulaceae subf. Lobelioideae,CAMPANULACEA
1769,Campanulaceae undiff.,CAMPANULACEA
1770,Campanula-type,CAMPANULACEA
1771,Campanulidae,CAMPANULACEA
3150,Codonopsis,CAMPANULACEA
5449,Isotoma,CAMPANULACEA
5470,Jasione,CAMPANULACEA
5471,Jasione montana,CAMPANULACEA
5472,Jasione montana-type,CAMPANULACEA
5473,Jasione-type,CAMPANULACEA
5710,Legousia-type,CAMPANULACEA
5930,Lobelia,CAMPANULACEA
5931,Lobelia dortmanna,CAMPANULACEA
6167,Lysipomia,CAMPANULACEA
6475,Michauxia,CAMPANULACEA
7746,Phyteuma,CAMPANULACEA
7747,Phyteuma-type,CAMPANULACEA
9620,Specularia,CAMPANULACEA
10350,Triodanis,CAMPANULACEA
10791,Wahlenbergia,CAMPANULACEA
1817,Caprifoliaceae,CAPRIFOLIA
1818,Caprifoliaceae sensu lato,CAPRIFOLIA
1819,Caprifoliaceae sensu lato undiff.,CAPRIFOLIA
1820,Caprifoliaceae subf. Caprifolioideae,CAPRIFOLIA
1821,Caprifoliaceae subf. Diervilloideae,CAPRIFOLIA
1822,Caprifoliaceae subf. Dipsacoideae,CAPRIFOLIA
1823,Caprifoliaceae subf. Dipsacoideae cf. Succisa,CAPRIFOLIA
1824,Caprifoliaceae subf. Dipsacoideae undiff.,CAPRIFOLIA
1825,Caprifoliaceae subf. Linnaeoideae,CAPRIFOLIA
1826,Caprifoliaceae subf. Valerianoideae,CAPRIFOLIA
1827,Caprifoliaceae undiff.,CAPRIFOLIA
5953,Lonicera,CAPRIFOLIA
5954,Lonicera albiflora-type,CAPRIFOLIA
5955,Lonicera caerulea,CAPRIFOLIA
5956,Lonicera canadensis,CAPRIFOLIA
5957,Lonicera canadensis-type,CAPRIFOLIA
5958,Lonicera hirsuta,CAPRIFOLIA
5959,Lonicera implexa,CAPRIFOLIA
5960,Lonicera involucrata,CAPRIFOLIA
5961,Lonicera nigra,CAPRIFOLIA
5962,Lonicera nigra-type,CAPRIFOLIA
5963,Lonicera periclymenum,CAPRIFOLIA
5964,Lonicera periclymenum-type,CAPRIFOLIA
5965,Lonicera undiff.,CAPRIFOLIA
5967,Lonicera xylosteum,CAPRIFOLIA
5968,Lonicera xylosteum-type,CAPRIFOLIA
5969,Lonicera/Symphoricarpos,CAPRIFOLIA
5970,Lonicera-type,CAPRIFOLIA
9909,Symphoricarpos,CAPRIFOLIA
9910,Symphoricarpos albus,CAPRIFOLIA
9911,Symphoricarpos occidentalis,CAPRIFOLIA
9912,Symphoricarpos-type,CAPRIFOLIA
1887,Carya,CARYA
1888,Carya cordiformis,CARYA
1890,Carya ovata,CARYA
2237,cf. Carya,CARYA
283,Agrostemma githago,CARYOPHYLL
284,Agrostemma-type,CARYOPHYLL
643,Anthyllis/Lychnis,CARYOPHYLL
817,Arenaria,CARYOPHYLL
818,Arenaria,CARYOPHYLL
824,Arenaria/Silene,CARYOPHYLL
825,Arenaria/Stellaria,CARYOPHYLL
826,Arenaria-type,CARYOPHYLL
1896,Caryophyllaceae,CARYOPHYLL
1897,Caryophyllaceae (pentacolpate),CARYOPHYLL
1898,Caryophyllaceae (small),CARYOPHYLL
1899,Caryophyllaceae aff. Spergularia,CARYOPHYLL
1900,Caryophyllaceae cf. Cerastium,CARYOPHYLL
1901,Caryophyllaceae cf. Dianthus,CARYOPHYLL
1902,Caryophyllaceae cf. Lychnis,CARYOPHYLL
1903,Caryophyllaceae cf. Myosoton aquaticum,CARYOPHYLL
1904,Caryophyllaceae cf. Sagina,CARYOPHYLL
1905,Caryophyllaceae cf. Scleranthus,CARYOPHYLL
1906,Caryophyllaceae cf. Silene,CARYOPHYLL
1907,Caryophyllaceae cf. Silene albescens,CARYOPHYLL
1908,Caryophyllaceae cf. Silene ampulata,CARYOPHYLL
1909,Caryophyllaceae cf. Silene latifolia subsp. alba,CARYOPHYLL
1910,Caryophyllaceae cf. Stellaria,CARYOPHYLL
1911,Caryophyllaceae cf. Stellaria pungens,CARYOPHYLL
1912,Caryophyllaceae undiff.,CARYOPHYLL
2060,Cerastium,CARYOPHYLL
2061,Cerastium afromontanum-type,CARYOPHYLL
2062,Cerastium alpinum-type,CARYOPHYLL
2063,Cerastium arvense,CARYOPHYLL
2064,Cerastium fontanum subsp. triviale,CARYOPHYLL
2065,Cerastium fontanum subsp. vulgare,CARYOPHYLL
2066,Cerastium fontanum-type,CARYOPHYLL
2067,Cerastium octandrum-type,CARYOPHYLL
2068,Cerastium undiff.,CARYOPHYLL
2069,Cerastium/Stellaria,CARYOPHYLL
2070,Cerastium-type,CARYOPHYLL
2252,cf. Cerastium glomeratum,CARYOPHYLL
2692,cf. Silene alba,CARYOPHYLL
3167,Colobanthus,CARYOPHYLL
3168,Colobanthus-type,CARYOPHYLL
3326,Corrigiola,CARYOPHYLL
3705,Dianthus,CARYOPHYLL
3706,Dianthus lusitanus-type,CARYOPHYLL
3707,Dianthus superbus-type,CARYOPHYLL
3708,Dianthus-type,CARYOPHYLL
4973,Gypsophila,CARYOPHYLL
4974,Gypsophila fastigiata,CARYOPHYLL
4975,Gypsophila fastigiata/G. repens,CARYOPHYLL
4976,Gypsophila fastigiata-type,CARYOPHYLL
4977,Gypsophila muralis,CARYOPHYLL
4978,Gypsophila repens,CARYOPHYLL
4979,Gypsophila repens-type,CARYOPHYLL
4980,Gypsophila undiff.,CARYOPHYLL
4981,Gypsophila-type,CARYOPHYLL
5141,Herniaria,CARYOPHYLL
5142,Herniaria-type,CARYOPHYLL
5400,Illecebrum,CARYOPHYLL
5940,Loeflingia,CARYOPHYLL
6030,Lychnis,CARYOPHYLL
6031,Lychnis flos-cuculi,CARYOPHYLL
6032,Lychnis viscaria-type,CARYOPHYLL
6033,Lychnis/Silene elegans,CARYOPHYLL
6034,Lychnis-type,CARYOPHYLL
6372,Melandrium,CARYOPHYLL
6579,Minuartia recurva,CARYOPHYLL
6739,Myosoton aquaticum,CARYOPHYLL
7394,Paronychia,CARYOPHYLL
7395,Paronychia americana,CARYOPHYLL
7396,Paronychia chartacea,CARYOPHYLL
7397,Paronychia polygonifolia-type,CARYOPHYLL
7398,Paronychia-type,CARYOPHYLL
9014,Sagina,CARYOPHYLL
9015,Sagina cf. S. nodosa,CARYOPHYLL
9016,Sagina cf. S. procumbens,CARYOPHYLL
9017,Sagina nodosa,CARYOPHYLL
9018,Sagina-type,CARYOPHYLL
9286,Scleranthus,CARYOPHYLL
9287,Scleranthus annuus,CARYOPHYLL
9288,Scleranthus perennis,CARYOPHYLL
9289,Scleranthus-type,CARYOPHYLL
9453,Silene,CARYOPHYLL
9454,Silene acaulis,CARYOPHYLL
9455,Silene burchellii-type,CARYOPHYLL
9456,Silene cf. S. acaulis,CARYOPHYLL
9457,Silene cf. S. nutans,CARYOPHYLL
9458,Silene dioica,CARYOPHYLL
9459,Silene dioica-type,CARYOPHYLL
9460,Silene foetida-type,CARYOPHYLL
9461,Silene undiff.,CARYOPHYLL
9462,Silene uniflora,CARYOPHYLL
9463,Silene uniflora subsp. uniflora,CARYOPHYLL
9464,Silene uniflora subsp. uniflora-type,CARYOPHYLL
9467,Silene vulgaris-type,CARYOPHYLL
9468,Silene/Lychnis,CARYOPHYLL
9469,Silene-type,CARYOPHYLL
9621,Spergula,CARYOPHYLL
9622,Spergula arvensis,CARYOPHYLL
9623,Spergula arvensis-type,CARYOPHYLL
9624,Spergula/Spergularia,CARYOPHYLL
9625,Spergularia,CARYOPHYLL
9626,Spergularia sp.,CARYOPHYLL
9627,Spergularia-type,CARYOPHYLL
9628,Spergula-type,CARYOPHYLL
9764,Stellaria,CARYOPHYLL
9765,Stellaria cf. S. graminea,CARYOPHYLL
9766,Stellaria cf. S. media,CARYOPHYLL
9767,Stellaria cf. S. nemorum,CARYOPHYLL
9768,Stellaria cf. S. palustris,CARYOPHYLL
9769,Stellaria graminea,CARYOPHYLL
9770,Stellaria holostea,CARYOPHYLL
9771,Stellaria mannii-type,CARYOPHYLL
9772,Stellaria nemorum,CARYOPHYLL
9773,Stellaria palustris,CARYOPHYLL
9774,Stellaria undiff.,CARYOPHYLL
9775,Stellaria-type,CARYOPHYLL
10432,Uebelinia,CARYOPHYLL
10433,Uebelinia abyssinica-type,CARYOPHYLL
10632,Vaccaria,CARYOPHYLL
10633,Vaccaria/Petrorhagia,CARYOPHYLL
1928,Castanea,CASTANEA
1929,Castanea dentata,CASTANEA
1930,Castanea sativa,CASTANEA
1931,Castanea/Castanopsis,CASTANEA
1932,Castanea-type,CASTANEA
1933,Castanopsis,CASTANEA
1934,Castanopsis/Lithocarpus,CASTANEA
2238,cf. Castanea,CASTANEA
2239,cf. Castanopsis,CASTANEA
143,Achyranthes aspera-type,CHENOAMX
144,Achyranthes-type,CHENOAMX
225,Aerva,CHENOAMX
343,Allenrolfea,CHENOAMX
411,Alternanthera,CHENOAMX
412,Alternanthera (type II),CHENOAMX
413,Alternanthera philoxeroides,CHENOAMX
414,Alternanthera-type,CHENOAMX
420,Amaranthaceae,CHENOAMX
421,Amaranthaceae (<20 åµm),CHENOAMX
422,Amaranthaceae (>20 åµm),CHENOAMX
423,Amaranthaceae (12 µm),CHENOAMX
424,Amaranthaceae (small),CHENOAMX
425,Amaranthaceae (type A),CHENOAMX
426,Amaranthaceae (type B),CHENOAMX
427,Amaranthaceae (type C),CHENOAMX
428,Amaranthaceae (type I),CHENOAMX
429,Amaranthaceae (type II),CHENOAMX
430,Amaranthaceae cf. Atriplex,CHENOAMX
431,Amaranthaceae cf. Krascheninnikovia,CHENOAMX
432,Amaranthaceae sensu stricto,CHENOAMX
433,Amaranthaceae undiff.,CHENOAMX
434,Amaranthaceae-type,CHENOAMX
435,Amaranthus,CHENOAMX
436,Amaranthus australis,CHENOAMX
437,Amaranthus retroflexus-type,CHENOAMX
439,Amaranthus-type,CHENOAMX
1095,Atriplex,CHENOAMX
1096,Atriplex calotheca,CHENOAMX
1097,Atriplex canescens,CHENOAMX
1098,Atriplex hastata,CHENOAMX
1099,Atriplex kuzenevae,CHENOAMX
1100,Atriplex nudicaulis,CHENOAMX
1101,Atriplex praecox,CHENOAMX
1102,Atriplex sagittata,CHENOAMX
1103,Atriplex sp.,CHENOAMX
1104,Atriplex-type,CHENOAMX
1200,Bassia,CHENOAMX
1201,Bassia laniflora,CHENOAMX
1202,Bassia prostrata,CHENOAMX
1203,Bassia-type,CHENOAMX
1255,Beta,CHENOAMX
1256,Beta vulgaris-type,CHENOAMX
1257,Beta-type,CHENOAMX
1983,Celosia argentea-type,CHENOAMX
1984,Celosia trigyna-type,CHENOAMX
1985,Celosia-type,CHENOAMX
1986,Celosia-type argentea,CHENOAMX
2856,Chamissoa-type,CHENOAMX
2903,Chenopodiaceae,CHENOAMX
2904,Chenopodiaceae (<20 µm),CHENOAMX
2905,Chenopodiaceae (>20 µm),CHENOAMX
2906,Chenopodiaceae (12 µm),CHENOAMX
2907,Chenopodiaceae sensu stricto,CHENOAMX
2908,Chenopodiaceae undiff.,CHENOAMX
2909,Chenopodiaceae/Amaranthaceae,CHENOAMX
2910,Chenopodiaceae/Amaranthaceae (small),CHENOAMX
2911,Chenopodiaceae/Amaranthaceae (type A),CHENOAMX
2912,Chenopodiaceae/Amaranthaceae (type B),CHENOAMX
2913,Chenopodiaceae/Amaranthaceae (type C),CHENOAMX
2914,Chenopodiaceae/Amaranthaceae (type I),CHENOAMX
2915,Chenopodiaceae/Amaranthaceae (type II),CHENOAMX
2916,Chenopodiaceae/Amaranthaceae cf. Atriplex,CHENOAMX
2917,Chenopodiaceae/Amaranthaceae cf. Krascheninnikovia,CHENOAMX
2918,Chenopodiaceae/Amaranthaceae undiff.,CHENOAMX
2919,Chenopodiaceae-type,CHENOAMX
2920,Chenopodiineae,CHENOAMX
2921,Chenopodium,CHENOAMX
2922,Chenopodium album,CHENOAMX
2923,Chenopodium album-type,CHENOAMX
2924,Chenopodium hybridum,CHENOAMX
2925,Chenopodium polyspermum,CHENOAMX
2926,Chenopodium quinoa-type,CHENOAMX
2927,Chenopodium rubrum,CHENOAMX
2928,Chenopodium sp.,CHENOAMX
2929,Chenopodium undiff.,CHENOAMX
2931,Chenopodium-type,CHENOAMX
3287,Cornulaca,CHENOAMX
4641,Froelichia-type,CHENOAMX
4897,Gomphrena,CHENOAMX
4898,Gomphrena/Pfaffia,CHENOAMX
4899,Gomphrena-type,CHENOAMX
5026,Halogeton,CHENOAMX
5034,Halothamnus-type,CHENOAMX
5038,Hammada-type,CHENOAMX
5415,Iresine,CHENOAMX
5536,Kochia,CHENOAMX
5541,Kochia-type,CHENOAMX
5550,Krascheninnikovia,CHENOAMX
5551,Krascheninnikovia ceratoides,CHENOAMX
6956,Noaea-type,CHENOAMX
7612,Pfaffia gnaphaloides,CHENOAMX
8153,Polycnemum,CHENOAMX
9026,Salicornia europaea,CHENOAMX
9027,Salicornia-type,CHENOAMX
9052,Salsola,CHENOAMX
9053,Salsola kali,CHENOAMX
9054,Salsola-type,CHENOAMX
9399,Sericostachys scandens-type,CHENOAMX
9400,Sericostachys-type,CHENOAMX
9711,Spinacia-type,CHENOAMX
9868,Suaeda,CHENOAMX
9869,Suaeda calceoliformis,CHENOAMX
9870,Suaeda maritima,CHENOAMX
9871,Suaeda-type,CHENOAMX
10176,Tidestromia,CHENOAMX
10177,Tidestromia lanuginosa,CHENOAMX
10178,Tidestromia-type,CHENOAMX
2978,Chrysolepis,CHRYSOLEP
2979,Chrysolepis/Lithocarpus,CHRYSOLEP
2980,Chrysolepis-type,CHRYSOLEP
5904,Lithocarpus,CHRYSOLEP
5905,Lithocarpus-type,CHRYSOLEP
3288,Cornus,CORNUS
3289,Cornus alternifolia,CORNUS
3290,Cornus amomum-type,CORNUS
3291,Cornus canadensis,CORNUS
3292,Cornus canadensis-type,CORNUS
3293,Cornus cf. C. rugosa,CORNUS
3294,Cornus cf. C. sericea,CORNUS
3295,Cornus cf. C. suecica,CORNUS
3296,Cornus florida,CORNUS
3297,Cornus foemina-type,CORNUS
3298,Cornus mas,CORNUS
3299,Cornus mas/C. sanguinea,CORNUS
3300,Cornus mas/C. suecica,CORNUS
3301,Cornus mas-type,CORNUS
3302,Cornus obliqua-type,CORNUS
3303,Cornus racemosa,CORNUS
3304,Cornus rugosa,CORNUS
3305,Cornus sanguinea,CORNUS
3306,Cornus sanguinea-type,CORNUS
3307,Cornus sericea,CORNUS
3308,Cornus sericea-type,CORNUS
3309,Cornus stolonifera,CORNUS
3310,Cornus stolonifera-type,CORNUS
3311,Cornus subg. Kraniopsis,CORNUS
3312,Cornus suecica,CORNUS
3313,Cornus suecica-type,CORNUS
3314,Cornus undiff.,CORNUS
3349,Corylus,CORYLUS
3350,Corylus americana,CORYLUS
3351,Corylus avellana,CORYLUS
3352,Corylus cornuta,CORYLUS
3353,Corylus maxima,CORYLUS
3354,Corylus undiff.,CORYLUS
3357,Corylus-type,CORYLUS
3358,Corylus-type undiff.,CORYLUS
1073,Athrotaxis,CUPRESSA
1074,Athrotaxis/Diselma,CUPRESSA
1114,Austrocedrus,CUPRESSA
1115,Austrocedrus chilensis,CUPRESSA
1116,Austrocedrus chilensis-type,CUPRESSA
1117,Austrocedrus-type,CUPRESSA
1715,Callitris,CUPRESSA
2276,cf. Cupressaceae,CUPRESSA
2383,cf. Juniperus,CUPRESSA
2843,Chamaecyparis,CUPRESSA
2844,Chamaecyparis thyoides,CUPRESSA
2845,Chamaecyparis-type,CUPRESSA
3459,Cryptomeria,CUPRESSA
3460,Cryptomeria japonica,CUPRESSA
3490,Cupressaceae,CUPRESSA
3491,Cupressaceae cf. Juniperus communis,CUPRESSA
3492,Cupressaceae cf. Thuja occidentalis,CUPRESSA
3493,Cupressaceae undiff.,CUPRESSA
3494,Cupressaceae/Taxaceae,CUPRESSA
3495,Cupressaceae/Taxaceae undiff.,CUPRESSA
3496,Cupressaceae/Taxodiaceae,CUPRESSA
3497,Cupressaceae/Taxodiaceae undiff.,CUPRESSA
3498,Cupressaceae-type,CUPRESSA
3499,Cupressophyta,CUPRESSA
3500,Cupressophyta incertae sedis,CUPRESSA
3501,Cupressus,CUPRESSA
3502,Cupressus-type,CUPRESSA
3845,Diselma,CUPRESSA
3846,Diselma archeri,CUPRESSA
4560,Fitzroya,CUPRESSA
4561,Fitzroya cupressoides,CUPRESSA
4562,Fitzroya cupressoides-type,CUPRESSA
4882,Glyptostrobus,CUPRESSA
5502,Juniperus,CUPRESSA
5503,Juniperus californica,CUPRESSA
5504,Juniperus communis,CUPRESSA
5505,Juniperus communis/Thuja occidentalis-type,CUPRESSA
5506,Juniperus horizontalis/J. virginiana-type,CUPRESSA
5507,Juniperus sabina,CUPRESSA
5508,Juniperus scopulorum,CUPRESSA
5509,Juniperus sp.,CUPRESSA
5510,Juniperus/Calocedrus,CUPRESSA
5511,Juniperus/Thuja,CUPRESSA
5512,Juniperus-type,CUPRESSA
5801,Libocedrus,CUPRESSA
7362,Papuacedrus,CUPRESSA
7805,Pilgerodendron,CUPRESSA
7806,Pilgerodendron-type,CUPRESSA
9396,Sequoia,CUPRESSA
9397,Sequoiadendron,CUPRESSA
10070,Tetraclinis,CUPRESSA
10155,Thuja,CUPRESSA
10156,Thuja plicata-type,CUPRESSA
10157,Thuja-type,CUPRESSA
477,Amphiscirpus,CYPERACE
478,Amphiscirpus nevadensis,CYPERACE
903,Ascolepis,CYPERACE
1415,Bolboschoenus,CYPERACE
1416,Bolboschoenus maritimus,CYPERACE
1417,Bolboschoenus maritimus subsp. maritimus,CYPERACE
1418,Bolboschoenus maritimus subsp. paludosus,CYPERACE
1860,Carex,CYPERACE
1861,Carex cf. C. rostrata,CYPERACE
1862,Carex cf. C. sychnocephala,CYPERACE
1863,Carex hirta-type,CYPERACE
1864,Carex sychnocephala,CYPERACE
1865,Carex-type,CYPERACE
3057,Cladium,CYPERACE
3058,Cladium jamaicense,CYPERACE
3059,Cladium mariscoides,CYPERACE
3060,Cladium mariscus,CYPERACE
3061,Cladium undiff.,CYPERACE
3062,Cladium-type,CYPERACE
3063,Cladium-type undiff.,CYPERACE
3568,Cyperaceae,CYPERACE
3569,Cyperaceae (<50 åµm),CYPERACE
3570,Cyperaceae (>50 åµm),CYPERACE
3571,Cyperaceae (20 åµm),CYPERACE
3572,Cyperaceae (25 µm),CYPERACE
3573,Cyperaceae (27 åµm),CYPERACE
3574,Cyperaceae (29 åµm),CYPERACE
3575,Cyperaceae (31 åµm),CYPERACE
3576,Cyperaceae (38 µm),CYPERACE
3577,Cyperaceae (inaperturate),CYPERACE
3578,Cyperaceae (type 1),CYPERACE
3579,Cyperaceae (type 2),CYPERACE
3580,Cyperaceae 1,CYPERACE
3581,Cyperaceae 2,CYPERACE
3582,Cyperaceae cf. Cladium,CYPERACE
3583,Cyperaceae cf. Cladium mariscus,CYPERACE
3584,Cyperaceae cf. Cladium-type,CYPERACE
3585,Cyperaceae cf. Rhynchospora alba,CYPERACE
3586,Cyperaceae undiff.,CYPERACE
3587,Cyperus,CYPERACE
3588,Cyperus longus-type,CYPERACE
3589,Cyperus-type,CYPERACE
3717,Dichromena colorata,CYPERACE
3941,Dulichium,CYPERACE
3942,Dulichium arundinaceum-type,CYPERACE
4004,Eleocharis,CYPERACE
4005,Eleocharis-type,CYPERACE
4248,Eriophorum,CYPERACE
4249,Eriophorum-type,CYPERACE
4558,Fimbristylis,CYPERACE
4644,Fuirena,CYPERACE
4968,Gymnoschoenus,CYPERACE
4970,Gymnoschoenus-type,CYPERACE
8820,Rhynchospora,CYPERACE
8821,Rhynchospora alba,CYPERACE
8822,Rhynchospora alba-type,CYPERACE
8823,Rhynchospora colorata,CYPERACE
8824,Rhynchospora-type,CYPERACE
9242,Schoenoplectus,CYPERACE
9243,Schoenoplectus acutus,CYPERACE
9244,Schoenoplectus acutus/S. tabernaemontani,CYPERACE
9245,Schoenoplectus lacustris,CYPERACE
9246,Schoenoplectus lacustris-type,CYPERACE
9247,Schoenoplectus sect. Schoenoplectus-type,CYPERACE
9248,Schoenoplectus tabernaemontani,CYPERACE
9249,Schoenoplectus tabernaemontani-type,CYPERACE
9250,Schoenoplectus/Bolboschoenus,CYPERACE
9251,Schoenus,CYPERACE
9252,Schoenus-type,CYPERACE
9258,Scirpus,CYPERACE
9270,Scirpus sp.,CYPERACE
9272,Scirpus-type,CYPERACE
3854,Dodecatheon,DODECATH
3897,Dryas,DRYAS
3898,Dryas integrifolia,DRYAS
3899,Dryas octopetala,DRYAS
3984,Elaeagnaceae,ELAEAGNX
3985,Elaeagnaceae undiff.,ELAEAGNX
3986,Elaeagnus,ELAEAGNX
3987,Elaeagnus commutata,ELAEAGNX
3988,Elaeagnus/Shepherdia argentea,ELAEAGNX
5199,Hippophae,ELAEAGNX
5200,Hippophae rhamnoides,ELAEAGNX
4079,Ephedra,EPHEDRA
4080,Ephedra (branched folds),EPHEDRA
4081,Ephedra (simple folds),EPHEDRA
4082,Ephedra breana,EPHEDRA
4083,Ephedra cf. E. distachya,EPHEDRA
4084,Ephedra cf. E. foeminea,EPHEDRA
4085,Ephedra cf. E. fragilis,EPHEDRA
4087,Ephedra cf. E. nevadensis,EPHEDRA
4088,Ephedra cf. E. strobilacea,EPHEDRA
4089,Ephedra cf. E. tweediana,EPHEDRA
4090,Ephedra distachya,EPHEDRA
4091,Ephedra distachya subsp. helvetica-type,EPHEDRA
4092,Ephedra distachya-type,EPHEDRA
4093,Ephedra foeminea,EPHEDRA
4094,Ephedra foeminea-type,EPHEDRA
4095,Ephedra fragilis,EPHEDRA
4098,Ephedra fragilis-type,EPHEDRA
4099,Ephedra major,EPHEDRA
4100,Ephedra monosperma,EPHEDRA
4101,Ephedra nevadensis,EPHEDRA
4102,Ephedra nevadensis-type,EPHEDRA
4103,Ephedra sp.,EPHEDRA
4104,Ephedra strobilacea,EPHEDRA
4105,Ephedra strobilacea-type,EPHEDRA
4106,Ephedra torreyana-type,EPHEDRA
4107,Ephedra trifurca-type,EPHEDRA
4108,Ephedra undiff.,EPHEDRA
4109,Ephedra viridis,EPHEDRA
4110,Ephedra viridis-type,EPHEDRA
4131,Equisetum,EQUISETU
4132,Equisetum sylvaticum,EQUISETU
4133,Equisetum undiff.,EQUISETU
4134,Equisetum-type,EQUISETU
4135,Equisetum-type undiff.,EQUISETU
558,Andromeda glaucophylla,ERICACEX
753,Arbutus,ERICACEX
754,Arbutus unedo,ERICACEX
785,Arctostaphylos,ERICACEX
786,Arctostaphylos alpina,ERICACEX
787,Arctostaphylos alpina/A. rubra,ERICACEX
788,Arctostaphylos alpinus,ERICACEX
789,Arctostaphylos sp.,ERICACEX
790,Arctostaphylos undiff.,ERICACEX
791,Arctostaphylos uva-ursi,ERICACEX
792,Arctostaphylos uva-ursi-type,ERICACEX
793,Arctous,ERICACEX
794,Arctous alpina,ERICACEX
795,Arctous alpina/A. rubra,ERICACEX
1547,Bruckenthalia,ERICACEX
1548,Bruckenthalia spiculifolia,ERICACEX
1718,Calluna,ERICACEX
1719,Calluna vulgaris,ERICACEX
1720,Calluna vulgaris-type,ERICACEX
1924,Cassiope,ERICACEX
1925,Cassiope tetragona,ERICACEX
1926,Cassiope tetragona-type,ERICACEX
1927,Cassiope-type,ERICACEX
2071,Ceratiola ericoides,ERICACEX
2072,Ceratiola ericoides-type,ERICACEX
2164,cf. Arbutus,ERICACEX
2934,Chimaphila,ERICACEX
3280,Corema album,ERICACEX
3879,Dracophyllum,ERICACEX
4027,Empetrum,ERICACEX
4028,Empetrum cf. E. nigrum,ERICACEX
4029,Empetrum nigrum,ERICACEX
4030,Empetrum nigrum subsp. hermaphroditum,ERICACEX
4031,Empetrum-type,ERICACEX
4075,Epacris,ERICACEX
4076,Epacris obtusifolia,ERICACEX
4077,Epacris serpyllifolia,ERICACEX
4078,Epacris-type,ERICACEX
4183,Erica,ERICACEX
4184,Erica arborea,ERICACEX
4185,Erica arborea-type,ERICACEX
4186,Erica australis,ERICACEX
4187,Erica australis-type,ERICACEX
4188,Erica cf. E. cinerea,ERICACEX
4189,Erica cf. E. tetralix,ERICACEX
4190,Erica ciliaris-type,ERICACEX
4191,Erica cinerea,ERICACEX
4192,Erica cinerea/E. tetralix,ERICACEX
4193,Erica erigena,ERICACEX
4194,Erica lusitanica,ERICACEX
4195,Erica multiflora-type,ERICACEX
4196,Erica scoparia,ERICACEX
4197,Erica scoparia-type,ERICACEX
4198,Erica terminalis,ERICACEX
4199,Erica tetralix,ERICACEX
4200,Erica tetralix-type,ERICACEX
4201,Erica umbellata,ERICACEX
4202,Erica umbellata-type,ERICACEX
4203,Erica undiff.,ERICACEX
4204,Ericaceae,ERICACEX
4205,Ericaceae (type 2),ERICACEX
4206,Ericaceae (type I),ERICACEX
4207,Ericaceae (type II),ERICACEX
4208,Ericaceae (type III),ERICACEX
4209,Ericaceae cf. Arctostaphylos,ERICACEX
4210,Ericaceae cf. Calluna,ERICACEX
4211,Ericaceae subf. Arbutoideae,ERICACEX
4212,Ericaceae subf. Cassiopoideae,ERICACEX
4213,Ericaceae subf. Epacridoideae,ERICACEX
4214,Ericaceae subf. Ericoideae,ERICACEX
4215,Ericaceae subf. Monotropoideae,ERICACEX
4216,Ericaceae subf. Styphelioideae,ERICACEX
4218,Ericaceae tribe Epacrideae,ERICACEX
4219,Ericaceae tribe Epacrideae undiff.,ERICACEX
4220,Ericaceae tribe Epacrideae-type,ERICACEX
4221,Ericaceae undiff.,ERICACEX
4223,Ericaceae-type,ERICACEX
4231,Erica-type,ERICACEX
5523,Kalmia,ERICACEX
5524,Kalmia procumbens,ERICACEX
5525,Kalmia/Andromeda,ERICACEX
5794,Leucopogon,ERICACEX
5795,Leucopogon-type,ERICACEX
6616,Moneses uniflora,ERICACEX
6623,Monotoca,ERICACEX
6624,Monotropa,ERICACEX
