Scientific Name, numSites, csvLocation, shapefileLocation
Fraxinus nigra,1630,CSV/mammals/Fraxinus_nigra.csv,shapefiles/mammals/Fraxinus_nigra.shp
Fraxinus ornus,27,CSV/mammals/Fraxinus_ornus.csv,shapefiles/mammals/Fraxinus_ornus.shp
Fraxinus pennsylvanica,1441,CSV/mammals/Fraxinus_pennsylvanica.csv,shapefiles/mammals/Fraxinus_pennsylvanica.shp
Fraxinus ,3444,CSV/mammals/Fraxinus_undiff.csv,shapefiles/mammals/Fraxinus_undiff.shp
Hedera helix,114,CSV/mammals/Hedera_helix.csv,shapefiles/mammals/Hedera_helix.shp
Hippophae rhamnoides,114,CSV/mammals/Hippophae_rhamnoides.csv,shapefiles/mammals/Hippophae_rhamnoides.shp
Hippuris vulgaris,25,CSV/mammals/Hippuris_vulgaris.csv,shapefiles/mammals/Hippuris_vulgaris.shp
Humulus lupulus,398,CSV/mammals/Humulus_lupulus.csv,shapefiles/mammals/Humulus_lupulus.shp
Huperzia lucidula,237,CSV/mammals/Huperzia_lucidula.csv,shapefiles/mammals/Huperzia_lucidula.shp
Huperzia selago,433,CSV/mammals/Huperzia_selago.csv,shapefiles/mammals/Huperzia_selago.shp
Hypericum perforatum,13,CSV/mammals/Hypericum_perforatum.csv,shapefiles/mammals/Hypericum_perforatum.shp
Hypericum ,43,CSV/mammals/Hypericum_undiff.csv,shapefiles/mammals/Hypericum_undiff.shp
Ilex aquifolium,178,CSV/mammals/Ilex_aquifolium.csv,shapefiles/mammals/Ilex_aquifolium.shp
Iva annua,2846,CSV/mammals/Iva_annua.csv,shapefiles/mammals/Iva_annua.shp
Iva ,77,CSV/mammals/Iva_undiff.csv,shapefiles/mammals/Iva_undiff.shp
Jasione montana,119,CSV/mammals/Jasione_montana.csv,shapefiles/mammals/Jasione_montana.shp
Juglans cinerea,496,CSV/mammals/Juglans_cinerea.csv,shapefiles/mammals/Juglans_cinerea.shp
Juglans nigra,504,CSV/mammals/Juglans_nigra.csv,shapefiles/mammals/Juglans_nigra.shp
Juglans regia,43,CSV/mammals/Juglans_regia.csv,shapefiles/mammals/Juglans_regia.shp
Juglans ,480,CSV/mammals/Juglans_undiff.csv,shapefiles/mammals/Juglans_undiff.shp
Juniperus communis,126,CSV/mammals/Juniperus_communis.csv,shapefiles/mammals/Juniperus_communis.shp
Juniperus sp,37,CSV/mammals/Juniperus_sp.csv,shapefiles/mammals/Juniperus_sp.shp
Lamiaceae ,260,CSV/mammals/Lamiaceae_undiff.csv,shapefiles/mammals/Lamiaceae_undiff.shp
Larix gmelinii,549,CSV/mammals/Larix_gmelinii.csv,shapefiles/mammals/Larix_gmelinii.shp
Larix laricina,477,CSV/mammals/Larix_laricina.csv,shapefiles/mammals/Larix_laricina.shp
Leontice leontopetalum,26,CSV/mammals/Leontice_leontopetalum.csv,shapefiles/mammals/Leontice_leontopetalum.shp
Lepidium sp,11,CSV/mammals/Lepidium_sp.csv,shapefiles/mammals/Lepidium_sp.shp
Liliaceae ,246,CSV/mammals/Liliaceae_undiff.csv,shapefiles/mammals/Liliaceae_undiff.shp
Lilianae ,144,CSV/mammals/Lilianae_undiff.csv,shapefiles/mammals/Lilianae_undiff.shp
Linnaea borealis,25,CSV/mammals/Linnaea_borealis.csv,shapefiles/mammals/Linnaea_borealis.shp
Linum catharticum,24,CSV/mammals/Linum_catharticum.csv,shapefiles/mammals/Linum_catharticum.shp
Linum usitatissimum,41,CSV/mammals/Linum_usitatissimum.csv,shapefiles/mammals/Linum_usitatissimum.shp
Liquidambar styraciflua,117,CSV/mammals/Liquidambar_styraciflua.csv,shapefiles/mammals/Liquidambar_styraciflua.shp
Littorella uniflora,169,CSV/mammals/Littorella_uniflora.csv,shapefiles/mammals/Littorella_uniflora.shp
Lycopodiaceae (foveolate),190,CSV/mammals/Lycopodiaceae_(foveolate).csv,shapefiles/mammals/Lycopodiaceae_(foveolate).shp
Lycopodiaceae ,73,CSV/mammals/Lycopodiaceae_undiff.csv,shapefiles/mammals/Lycopodiaceae_undiff.shp
Lycopodiella inundata,16,CSV/mammals/Lycopodiella_inundata.csv,shapefiles/mammals/Lycopodiella_inundata.shp
Lycopodium annotinum,287,CSV/mammals/Lycopodium_annotinum.csv,shapefiles/mammals/Lycopodium_annotinum.shp
Lycopodium clavatum,158,CSV/mammals/Lycopodium_clavatum.csv,shapefiles/mammals/Lycopodium_clavatum.shp
Lycopodium obscurum,57,CSV/mammals/Lycopodium_obscurum.csv,shapefiles/mammals/Lycopodium_obscurum.shp
Lycopodium ,156,CSV/mammals/Lycopodium_undiff.csv,shapefiles/mammals/Lycopodium_undiff.shp
Lysimachia vulgaris,13,CSV/mammals/Lysimachia_vulgaris.csv,shapefiles/mammals/Lysimachia_vulgaris.shp
Lythrum salicaria,12,CSV/mammals/Lythrum_salicaria.csv,shapefiles/mammals/Lythrum_salicaria.shp
Maclura pomifera,41,CSV/mammals/Maclura_pomifera.csv,shapefiles/mammals/Maclura_pomifera.shp
Mercurialis perennis,17,CSV/mammals/Mercurialis_perennis.csv,shapefiles/mammals/Mercurialis_perennis.shp
Micranthes hieraciifolia,122,CSV/mammals/Micranthes_hieraciifolia.csv,shapefiles/mammals/Micranthes_hieraciifolia.shp
Micranthes stellaris,35,CSV/mammals/Micranthes_stellaris.csv,shapefiles/mammals/Micranthes_stellaris.shp
Mikania scandens,27,CSV/mammals/Mikania_scandens.csv,shapefiles/mammals/Mikania_scandens.shp
Moraceae ,179,CSV/mammals/Moraceae_undiff.csv,shapefiles/mammals/Moraceae_undiff.shp
Morus rubra,47,CSV/mammals/Morus_rubra.csv,shapefiles/mammals/Morus_rubra.shp
Myrica cerifera,57,CSV/mammals/Myrica_cerifera.csv,shapefiles/mammals/Myrica_cerifera.shp
Myriophyllum alterniflorum,62,CSV/mammals/Myriophyllum_alterniflorum.csv,shapefiles/mammals/Myriophyllum_alterniflorum.shp
Myriophyllum spicatum,96,CSV/mammals/Myriophyllum_spicatum.csv,shapefiles/mammals/Myriophyllum_spicatum.shp
Myriophyllum ,52,CSV/mammals/Myriophyllum_undiff.csv,shapefiles/mammals/Myriophyllum_undiff.shp
Myrtaceae ,40,CSV/mammals/Myrtaceae_undiff.csv,shapefiles/mammals/Myrtaceae_undiff.shp
Nassella pubiflora,16,CSV/mammals/Nassella_pubiflora.csv,shapefiles/mammals/Nassella_pubiflora.shp
Nothofagus dombeyi,237,CSV/mammals/Nothofagus_dombeyi.csv,shapefiles/mammals/Nothofagus_dombeyi.shp
Nothofagus obliqua,69,CSV/mammals/Nothofagus_obliqua.csv,shapefiles/mammals/Nothofagus_obliqua.shp
Nymphaeaceae ,24,CSV/mammals/Nymphaeaceae_undiff.csv,shapefiles/mammals/Nymphaeaceae_undiff.shp
Nymphaea odorata,27,CSV/mammals/Nymphaea_odorata.csv,shapefiles/mammals/Nymphaea_odorata.shp
Onagraceae ,30,CSV/mammals/Onagraceae_undiff.csv,shapefiles/mammals/Onagraceae_undiff.shp
Ophioglossum vulgatum,44,CSV/mammals/Ophioglossum_vulgatum.csv,shapefiles/mammals/Ophioglossum_vulgatum.shp
Osmunda regalis,612,CSV/mammals/Osmunda_regalis.csv,shapefiles/mammals/Osmunda_regalis.shp
Oxyria digyna,1150,CSV/mammals/Oxyria_digyna.csv,shapefiles/mammals/Oxyria_digyna.shp
Parnassia palustris,28,CSV/mammals/Parnassia_palustris.csv,shapefiles/mammals/Parnassia_palustris.shp
Pedicularis langsdorffii,48,CSV/mammals/Pedicularis_langsdorffii.csv,shapefiles/mammals/Pedicularis_langsdorffii.shp
Persicaria amphibia,210,CSV/mammals/Persicaria_amphibia.csv,shapefiles/mammals/Persicaria_amphibia.shp
Persicaria lapathifolia,132,CSV/mammals/Persicaria_lapathifolia.csv,shapefiles/mammals/Persicaria_lapathifolia.shp
Persicaria maculosa,229,CSV/mammals/Persicaria_maculosa.csv,shapefiles/mammals/Persicaria_maculosa.shp
Phacelia sp,14,CSV/mammals/Phacelia_sp.csv,shapefiles/mammals/Phacelia_sp.shp
Physalis sp,11,CSV/mammals/Physalis_sp.csv,shapefiles/mammals/Physalis_sp.shp
Picea abies,743,CSV/mammals/Picea_abies.csv,shapefiles/mammals/Picea_abies.shp
Picea glauca,670,CSV/mammals/Picea_glauca.csv,shapefiles/mammals/Picea_glauca.shp
Picea mariana,377,CSV/mammals/Picea_mariana.csv,shapefiles/mammals/Picea_mariana.shp
Picea orientalis,257,CSV/mammals/Picea_orientalis.csv,shapefiles/mammals/Picea_orientalis.shp
Picea ,84,CSV/mammals/Picea_undiff.csv,shapefiles/mammals/Picea_undiff.shp
Pinaceae ,820,CSV/mammals/Pinaceae_undiff.csv,shapefiles/mammals/Pinaceae_undiff.shp
Pinus albicaulis,495,CSV/mammals/Pinus_albicaulis.csv,shapefiles/mammals/Pinus_albicaulis.shp
Pinus banksiana,351,CSV/mammals/Pinus_banksiana.csv,shapefiles/mammals/Pinus_banksiana.shp
Pinus cembra,241,CSV/mammals/Pinus_cembra.csv,shapefiles/mammals/Pinus_cembra.shp
Pinus contorta,1813,CSV/mammals/Pinus_contorta.csv,shapefiles/mammals/Pinus_contorta.shp
Pinus edulis,296,CSV/mammals/Pinus_edulis.csv,shapefiles/mammals/Pinus_edulis.shp
Pinus koraiensis,494,CSV/mammals/Pinus_koraiensis.csv,shapefiles/mammals/Pinus_koraiensis.shp
Pinus pumila,12,CSV/mammals/Pinus_pumila.csv,shapefiles/mammals/Pinus_pumila.shp
Pinus sibirica,851,CSV/mammals/Pinus_sibirica.csv,shapefiles/mammals/Pinus_sibirica.shp
Pinus strobus,357,CSV/mammals/Pinus_strobus.csv,shapefiles/mammals/Pinus_strobus.shp
Pinus sylvestris,2575,CSV/mammals/Pinus_sylvestris.csv,shapefiles/mammals/Pinus_sylvestris.shp
Pinus ,159,CSV/mammals/Pinus_undiff.csv,shapefiles/mammals/Pinus_undiff.shp
Planera aquatica,142,CSV/mammals/Planera_aquatica.csv,shapefiles/mammals/Planera_aquatica.shp
Plantaginaceae ,57,CSV/mammals/Plantaginaceae_undiff.csv,shapefiles/mammals/Plantaginaceae_undiff.shp
Plantago coronopus,13,CSV/mammals/Plantago_coronopus.csv,shapefiles/mammals/Plantago_coronopus.shp
Plantago lanceolata,26,CSV/mammals/Plantago_lanceolata.csv,shapefiles/mammals/Plantago_lanceolata.shp
Plantago major,45,CSV/mammals/Plantago_major.csv,shapefiles/mammals/Plantago_major.shp
Plantago maritima,151,CSV/mammals/Plantago_maritima.csv,shapefiles/mammals/Plantago_maritima.shp
Plantago media,13,CSV/mammals/Plantago_media.csv,shapefiles/mammals/Plantago_media.shp
Plantago ,31,CSV/mammals/Plantago_undiff.csv,shapefiles/mammals/Plantago_undiff.shp
Platanus occidentalis,21,CSV/mammals/Platanus_occidentalis.csv,shapefiles/mammals/Platanus_occidentalis.shp
Poaceae ,16,CSV/mammals/Poaceae_undiff.csv,shapefiles/mammals/Poaceae_undiff.shp
Podocarpus nubigenus,117,CSV/mammals/Podocarpus_nubigenus.csv,shapefiles/mammals/Podocarpus_nubigenus.shp
Polemoniaceae ,141,CSV/mammals/Polemoniaceae_undiff.csv,shapefiles/mammals/Polemoniaceae_undiff.shp
