Scientific Name, numSites, csvLocation, shapefileLocation
Rhamnus cathartica,14,CSV/mammals/Rhamnus_cathartica.csv,shapefiles/mammals/Rhamnus_cathartica.shp
Rhododendron tomentosum,76,CSV/mammals/Rhododendron_tomentosum.csv,shapefiles/mammals/Rhododendron_tomentosum.shp
Rhynchospora alba,60,CSV/mammals/Rhynchospora_alba.csv,shapefiles/mammals/Rhynchospora_alba.shp
Rosaceae ,182,CSV/mammals/Rosaceae_undiff.csv,shapefiles/mammals/Rosaceae_undiff.shp
Rubiaceae ,34,CSV/mammals/Rubiaceae_undiff.csv,shapefiles/mammals/Rubiaceae_undiff.shp
Rubus chamaemorus,35,CSV/mammals/Rubus_chamaemorus.csv,shapefiles/mammals/Rubus_chamaemorus.shp
Rumex acetosa,262,CSV/mammals/Rumex_acetosa.csv,shapefiles/mammals/Rumex_acetosa.shp
Rumex acetosella,52,CSV/mammals/Rumex_acetosella.csv,shapefiles/mammals/Rumex_acetosella.shp
Rumex crispus,26,CSV/mammals/Rumex_crispus.csv,shapefiles/mammals/Rumex_crispus.shp
Rumex obtusifolius,119,CSV/mammals/Rumex_obtusifolius.csv,shapefiles/mammals/Rumex_obtusifolius.shp
Rumex ,706,CSV/mammals/Rumex_undiff.csv,shapefiles/mammals/Rumex_undiff.shp
Ruppia maritima,400,CSV/mammals/Ruppia_maritima.csv,shapefiles/mammals/Ruppia_maritima.shp
Salix caroliniana,27,CSV/mammals/Salix_caroliniana.csv,shapefiles/mammals/Salix_caroliniana.shp
Salsola kali,84,CSV/mammals/Salsola_kali.csv,shapefiles/mammals/Salsola_kali.shp
Sanguisorba minor,35,CSV/mammals/Sanguisorba_minor.csv,shapefiles/mammals/Sanguisorba_minor.shp
Sanguisorba officinalis,83,CSV/mammals/Sanguisorba_officinalis.csv,shapefiles/mammals/Sanguisorba_officinalis.shp
Sarcobatus vermiculatus,1892,CSV/mammals/Sarcobatus_vermiculatus.csv,shapefiles/mammals/Sarcobatus_vermiculatus.shp
Saussurea nuda,65,CSV/mammals/Saussurea_nuda.csv,shapefiles/mammals/Saussurea_nuda.shp
Saxifragaceae ,287,CSV/mammals/Saxifragaceae_undiff.csv,shapefiles/mammals/Saxifragaceae_undiff.shp
Saxifraga cernua,63,CSV/mammals/Saxifraga_cernua.csv,shapefiles/mammals/Saxifraga_cernua.shp
Saxifraga oppositifolia,60,CSV/mammals/Saxifraga_oppositifolia.csv,shapefiles/mammals/Saxifraga_oppositifolia.shp
Saxifraga tricuspidata,143,CSV/mammals/Saxifraga_tricuspidata.csv,shapefiles/mammals/Saxifraga_tricuspidata.shp
Saxifraga ,100,CSV/mammals/Saxifraga_undiff.csv,shapefiles/mammals/Saxifraga_undiff.shp
Schinus terebinthifolius,15,CSV/mammals/Schinus_terebinthifolius.csv,shapefiles/mammals/Schinus_terebinthifolius.shp
Scirpus sp,15,CSV/mammals/Scirpus_sp.csv,shapefiles/mammals/Scirpus_sp.shp
Scleranthus annuus,13,CSV/mammals/Scleranthus_annuus.csv,shapefiles/mammals/Scleranthus_annuus.shp
Scrophulariaceae ,813,CSV/mammals/Scrophulariaceae_undiff.csv,shapefiles/mammals/Scrophulariaceae_undiff.shp
Secale cereale,239,CSV/mammals/Secale_cereale.csv,shapefiles/mammals/Secale_cereale.shp
Shepherdia argentea,316,CSV/mammals/Shepherdia_argentea.csv,shapefiles/mammals/Shepherdia_argentea.shp
Silene dioica,28,CSV/mammals/Silene_dioica.csv,shapefiles/mammals/Silene_dioica.shp
Solanum dulcamara,23,CSV/mammals/Solanum_dulcamara.csv,shapefiles/mammals/Solanum_dulcamara.shp
Sorbus aucuparia,16,CSV/mammals/Sorbus_aucuparia.csv,shapefiles/mammals/Sorbus_aucuparia.shp
Spergula arvensis,15,CSV/mammals/Spergula_arvensis.csv,shapefiles/mammals/Spergula_arvensis.shp
Succisa pratensis,53,CSV/mammals/Succisa_pratensis.csv,shapefiles/mammals/Succisa_pratensis.shp
Taxodium distichum,12,CSV/mammals/Taxodium_distichum.csv,shapefiles/mammals/Taxodium_distichum.shp
Taxus canadensis,38,CSV/mammals/Taxus_canadensis.csv,shapefiles/mammals/Taxus_canadensis.shp
Thelypteris palustris,165,CSV/mammals/Thelypteris_palustris.csv,shapefiles/mammals/Thelypteris_palustris.shp
Tilia americana,273,CSV/mammals/Tilia_americana.csv,shapefiles/mammals/Tilia_americana.shp
Tilia cordata,308,CSV/mammals/Tilia_cordata.csv,shapefiles/mammals/Tilia_cordata.shp
Tilia platyphyllos,177,CSV/mammals/Tilia_platyphyllos.csv,shapefiles/mammals/Tilia_platyphyllos.shp
Trapa natans,26,CSV/mammals/Trapa_natans.csv,shapefiles/mammals/Trapa_natans.shp
Trema micrantha,11,CSV/mammals/Trema_micrantha.csv,shapefiles/mammals/Trema_micrantha.shp
Trifolium repens,85,CSV/mammals/Trifolium_repens.csv,shapefiles/mammals/Trifolium_repens.shp
Tsuga heterophylla,2464,CSV/mammals/Tsuga_heterophylla.csv,shapefiles/mammals/Tsuga_heterophylla.shp
Tsuga mertensiana,2059,CSV/mammals/Tsuga_mertensiana.csv,shapefiles/mammals/Tsuga_mertensiana.shp
Typha (tetrad),163,CSV/mammals/Typha_(tetrad).csv,shapefiles/mammals/Typha_(tetrad).shp
Typha angustifolia,160,CSV/mammals/Typha_angustifolia.csv,shapefiles/mammals/Typha_angustifolia.shp
Typha domingensis,66,CSV/mammals/Typha_domingensis.csv,shapefiles/mammals/Typha_domingensis.shp
Typha latifolia,94,CSV/mammals/Typha_latifolia.csv,shapefiles/mammals/Typha_latifolia.shp
Ulmus minor,166,CSV/mammals/Ulmus_minor.csv,shapefiles/mammals/Ulmus_minor.shp
Urticalean Rosids,283,CSV/mammals/Urticalean_Rosids.csv,shapefiles/mammals/Urticalean_Rosids.shp
Urticales ,218,CSV/mammals/Urticales_undiff.csv,shapefiles/mammals/Urticales_undiff.shp
Valeriana officinalis,44,CSV/mammals/Valeriana_officinalis.csv,shapefiles/mammals/Valeriana_officinalis.shp
Zea mays,67,CSV/mammals/Zea_mays.csv,shapefiles/mammals/Zea_mays.shp
